Fairmont Nile City,4.5,"5,393",,,"Nile City Towers - 2005 B, Corniche El Nil Ramlet Beaulac, Cairo 2466 Egypt","A melting pot of history and diversity, the city of Cairo is ideal for both business and leisure. Like the city itself, Fairmont Nile City offers a delightful series of contrasts, combining advanced technology and modern design with local flavors and flair. With sweeping panoramas of the river Nile and the Pyramids in the distance, Cairo�s beauty and history are always in sight from your luxury accommodation. During your stay, embark on culinary adventures at the city�s finest restaurants, enjoy the fresh air at our rooftop poolside restaurant and pamper yourself at Willow Stream Spa. Part of the prestigious Nile City complex, this luxury hotel is the perfect location for business events. The space consists of 845 square meters (9,100 square feet) plus 450 square meters (4,800 square feet) of outdoor space dedicated to meetings and conventions, comprising of 10 meeting rooms including a ballroom. The space also offers spectacular river Nile views."
Novotel Cairo Airport,4.0,"2,222",,,Cairo 11776 Egypt,"Touch down in 4-star comfort at Novotel Cairo Airport hotel, a 5-minute ride from the terminals on the free 24-hour shuttle. Relax under the palms in the courtyard, or re-energise with a dip in the pool. All-day dining means you won't fly hungry. Your modern soundproofed room lets you stretch out and enjoy a restful night at Novotel."
Ramses Hilton,4.0,"4,180",,,"Corniche El Nile 1115, Cairo 12344 Egypt","Finding an ideal luxury hotel in Cairo does not have to be difficult. Welcome to Ramses Hilton, a nice option for travellers like you.Given the close proximity of popular landmarks, such as Zamalek (Gezira Island) (0.5 mi) and Mosque of Al-Azhar (0.9 mi), guests of Ramses Hilton can easily experience some of Cairo's most well known attractions.Ramses Hilton Hotel is a luxury hotel offering a flat screen TV, air conditioning, and a refrigerator in the rooms, and it is easy to stay connected during your stay as free wifi is offered to guests.The hotel features room service, a rooftop terrace, and a concierge. Plus, guests can enjoy a pool and free breakfast, which have made this a popular choice among travellers visiting Cairo. For guests with a vehicle, parking is available.While you�re here, be sure to check out some of the diners, including Kamala at Conrad Cairo, Bikers' Joint, and 3Almashy Egypt, all of which are a short distance from Ramses Hilton.Cairo is also home to Military Museum, a popular military museum that is not too far from Ramses Hilton.Ramses Hilton looks forward to welcoming you on your visit to Cairo."
Hilton Cairo Heliopolis,4.0,"1,738",,,"El-Orouba Qism El-Nozha, Cairo 2466 Egypt","Finding an ideal family-friendly hotel in Cairo does not have to be difficult. Welcome to Hilton Cairo Heliopolis, a nice option for travelers like you. While staying at Hilton Cairo Heliopolis, visitors can check out Baron Palace (2.1 mi) and St. Mark's Coptic Orthodox Church (2.3 mi), some of Cairo's top attractions. You�ll enjoy relaxing rooms that offer a flat screen TV, air conditioning, and a minibar, and you can stay connected during your stay as Hilton Cairo Heliopolis offers guests free Wi-Fi. The hotel features room service and a concierge. Plus, Hilton Cairo Heliopolis offers a pool, and providing a pleasant respite from your busy day. During your stay enjoy variety of international cuisines such as Raj Indian Restaurant, Leonardo Italian restaurant, Lan-Tania Thai Restaurant, Nobel house Asian restaurant and Al-Dabke Lebanese restaurant. While in Cairo be sure to experience nearby popular attractions like Egyptian Air Force Museum (0.9 mi) and Obelisk of Ramses II (1.2 mi), which are all within walking distance of the hotel. Hilton Cairo Heliopolis looks forward to welcoming you on your visit to Cairo. NOTE: The following services and amenities are available, but with reduced service: Business Center, Fitness Center, On-site Restaurant(s)."
"Staybridge Suites Cairo - Citystars, an IHG Hotel",4.5,234,,,"Emtedad Makram Obied Street Heliopolis, Cairo 11737 Egypt","Modern serviced apartments for extended stays in dynamic Cairo Citystars. Offering the comfort and convenience of a home away from home, Staybridge Suites� Cairo Citystars has everything you need for independent living in the exciting commercial hub of Heliopolis. With direct access to Stars Centre shopping mall, and just a seven-minute drive from Cairo International Airport and Cairo International Convention and Exhibition Centre, our 140 fully furnished studios and suites place travelers where they need to be. The buzzing streets of downtown Cairo are half an hour away, with the Great Pyramids a little further. Business travelers on extended stays in Cairo can settle into a spacious studio or suite with up to three bedrooms. Full kitchens and living areas let you cook, work and entertain in style, and Wi-Fi is complimentary throughout. A free buffet breakfast sets you up for the day, and an Evening Social invites you to mingle with fellow guests over dinner three nights a week."
Grand Nile Tower,3.5,937,,,"Corniche El Nile Garden City, Roda Island, Cairo 11511 Egypt","A haven within the cosmopolitan vibrant city of Cairo.One of Cairo's most luxurious hotels,Grand Nile Tower is a family hotel directly situated on the magnificent Nile river with a prime location in central Cairo,close to many cultural and tourist 's attractions.This stunning Kid-friendly Hotel offers you the finest service and experiences,elegantly designed accommodation that includes a wide selection of room types all of them are overlooking the splendid Nile River.The rooms and suites are having balconies with spectacular Nile views. A wide array of cuisines at any of our eight restaurants and lounges,including the highly acclaimed Revolving restaurant at the 41st floor .The restaurant is the highest rotating restaurant in the Middle East .As a guest,you can also access the exquisite conference and banqueting facilities for hosting memorable social and corporate events."
Dahab Hostel,4.5,576,,,"26 Mahmoud Bassiouny Rooftop, 7th Floor, Talat Harb Sq, Cairo 11511 Egypt","Dahab Hostel, Your Oasis in the City... It has been open since 1998. It has been registered in all the major guidebooks and has consistently received positive reviews. Dabab Hostel is centrally located in the heart of Downtown Cairo. It is just a 3-minute-walking distance to the Egyptian Museum in Tahrir Sq., and within easy reach to the main train and bus stations. Dabab Hostel has its own special charm. It is a collection of whitewashed huts on the rooftop attempting to recreate the feel of Sinai beach camp in an unremittingly urban Downtown Cairo. Once you get inside, you will definitely sense the totally laid-back, chilled out and cozy atmosphere. The outdoor garden area is just superb for lounging around and catching up with other travelers in the evening. The breeze is refreshing and the vibe is incontestable. It is an ideal place for artistic travellers as well. Enjoy the fantastic reggae music played, laying back in the sun, smoking Shisha 'Water pipe' on the rooftop at the Bedwin corner. Sit back & relax, plan your itineraries & catch up with your family & friends by logging onto our new optimized FREE WiFi Broadband Internet coverage for the entire hostel. Our rooms are equipped withprivate facilities and A/C. We have single, double and private dorms available and there are 39 rooms in total. Airport Pickup Service Once you have made your booking, you will be contacted by a staff member to organize it with you. At the airport, you will find our representative waiting for you holding a sign of your name and Dahab hostel, after you finish passport checking and custom clearance. Things to see in the local area Shopping Bazars. Khan El-Khalili Market. Al Azhar Mosque. Old Cairo /Islamic Cairo. Coptic Area. The Citadel. Cairo Tower. Cairo Opera House. In the evenings, the local area has a wide variety of restaurants and lively nightspots. Thank you for choosing Dahab Hostel ... See you soon in Cairo... ...::: NEW :::... Check out our new Deluxe rooms with private facilities and A/C"
JW Marriott Hotel Cairo,4.5,"1,748",,,"Ring Road- Mirage City Heliopolis, Cairo 11757 Egypt","Treat yourself to a new standard of elegance at the award-winning JW Marriott Hotel Cairo. Set against the unique and magical backdrop of Cairo, Egypt, a vibrant city steeped in 7,000 years of history and culture, our luxury hotel provides a combination of relaxed sophistication and personalized service. 440 impeccably appointed hotel rooms and suites offer every luxury for your Heliopolis visit, from pillowtop mattresses and marble bathrooms to 24-hour room service and high-speed Internet. Our stunning suites feature impressive views of our golf course, or ""The Beach."" With 12 diverse dining options at your disposal, you can rest assured that your appetite will always be satisfied. Indulge in a luxury treatment at the 27,000-square foot Mandara Spa, or play a round at our Mirage City Golf Club. Plan your next event with us in Heliopolis; our hotel features gorgeous, flexible venue space and comprehensive planning services. For the getaway of a lifetime here in Egypt, choose the JW Marriott Hotel Cairo."
Novotel Cairo El Borg,4.0,"1,434","EGP�4,641",,"3 Saraya El Gezira Street Zamalek, Cairo Egypt","Looking for a place to stay in Cairo? Then look no further than Novotel Cairo El Borg, a family-friendly hotel that brings the best of Cairo to your doorstep.Guest rooms offer a flat screen TV, air conditioning, and a minibar, and Novotel Cairo El Borg Hotel makes getting online easy as free wifi is available.You can also take advantage of some of the amenities offered by the hotel, including room service, a rooftop terrace, and a concierge. In addition, guests can enjoy a pool and free breakfast during their visit. As an added convenience, there is free parking available to guests.For those interested in checking out popular landmarks while visiting Cairo, Novotel Cairo El Borg Hotel is located a short distance from Zamalek (Gezira Island) (0.0 mi) and Mosque of Al-Azhar (1.1 mi).While you�re here, be sure to check out some of the Italian restaurants, including Vivo Restaurant, Pane Vino Restaurant, and L'Uliveto Restaurant, all of which are a short distance from Novotel Cairo El Borg.Cairo is also home to Egyptian Geology Museum, a popular science museum that is not too far from Novotel Cairo El Borg Hotel.We�re sure you�ll enjoy your stay at Novotel Cairo El Borg as you experience everything Cairo has to offer."
"The St. Regis Almasa Hotel, Cairo",4.5,113,"EGP�4,859",,"Cairo Suez Road New Administrative Capital, Cairo 29115 Egypt","Located in the heart of the new administrative capital, The St. Regis Almasa Hotel serves as a destination within a destination. It is the prestigious address perfectly situated to enhance the networks of state officials and the business elite as well as an exquisite escape for unparalleled family time. Here, quintessential luxury meets stately elegance. On the fast track to becoming Egypt�s epicenter of governance and commerce, the new administrative capital will play host to heads of state and their delegations, while acting as the seat of power for the country�s government. Featuring a vibrant new center of arts and culture, the capital will also attract artists and art lovers to enchanting and inspiring destinations like the stunning Grand Opera House. Also, not far off are one of the world�s most iconic ancient wonders - the pyramids."
"InterContinental Cairo Semiramis, an IHG Hotel",4.5,"2,840",,,"Corniche El Nil, Cairo 11511 Egypt","On the historic Semiramis hotel site, guests can enjoy modern luxury by the river Nile. Semiramis InterContinental Cairo is 23 KM from Cairo International airport with a premium location in the heart of the city center next to the Egyptian Museum and Khan el Khalili. The Hotel features a 26 sq m2 rooftop pool, fine dining with exquisite cuisine, conference facilities, a state of the art spa, a shopping arcade, and the Nile Terrace offering stunning views of the sunset over the Nile."
Concorde El Salam Hotel Cairo by Royal Tulip,4.0,732,"EGP�2,909",,"69 Abdel Hamid Badawi Street, Heliopolis, Cairo 5614 Egypt","Located in the fashionable suburb of Heliopolis, 10 minutes from Cairo International airport, 10 minutes from the Cairo International Conference center and 25 minutes from the city center with courtesy hotel shuttle. Georgian style hotel of architecture boasting all leisure facilities including tennis courts, glazed squash courts, equestrian club & business center. 320 spacious rooms with 18 suites and 14 individual pool side rooms, Executive floor including business advantage rooms, Executive lounge and butler service. All rooms & public areas have broadband internet access with free WiFi technology, IP telephone with voice mail, data port. All rooms with 32-Inch LCD TV. 11 fully equipped meeting rooms accommodating up to 500 people. All rooms feature the latest audiovisual equipment, fax and computer facilities. Fitness & Health Club fully equipped with cardiovascular equipment for total body workouts. The Spa sauna, Jacuzzi , hammam and professional massage."
New Grand Royal Hotel Cairo,4.0,377,,,"1 Talaat Harb Square, Cairo 11511 Egypt","Hotel Grand Royal is located in Cairo City Centre. Rooms are decorated with white colours and wooden furniture. Free Wi-Fi is available in the entire hotel. The rooms are air-conditioned with wooden flooring. Facilities include TV and bathroom with a bathtub. Some rooms have a balcony overlooking the city. Fresh flowers are sent to the rooms every day. Guests can enjoy the wide variety of restaurants located outside the hotel. Choice of food ranges from Egyptian to western dishes. The restaurant at Grand Royal is also open to guests, and room service is available as well. Guests can take a walk by the Nile River or visit the Egyptian Museum, all within 15 minutes' walking distance. The hotel is within 20 minutes' drive to Pyramids of Giza. Cairo International Airport is located within 35 minutes' driving distance."
Oasis Hotel,4.0,4,,,"11 Ramsis Street, Abdelmonem Riyadh Square 5th Floor downtown-Cairo, Cairo 11511 Egypt","Situated in Cairo, Cairo Governorate region, Oasis Downtown Hostel is set 1 km from Tahrir Square. Located around 1 km from The Egyptian Museum, the hostel is also 2.4 km away from Khan Al Khalili. The accommodation offers free WiFi. At the hostel, the rooms are equipped with a terrace. At Elwahaa Downtown Hostel, all rooms include air conditioning and a flat-screen TV. A continental breakfast is served each morning at the property. Speaking Arabic and German, staff are always on hand to help at the reception. Al-Azhar Mosque is 2.9 km from the accommodation. The nearest airport is Cairo International Airport, 19 km from Elwahaa Downtown Hostel."
Osiris Hotel,4.5,502,,,"49 Nubar Bab el Louk, Cairo 11511 Egypt","The Hotel Osiris was recently built with a unique oriental inspired style, giving this place a special charm and cosy atmosphere, making you feel at home. Clean, quiet rooms, comfortable beds, air conditioning, internet cafe. Outstanding Top Roof terrace with a panoramic view of Cairo and delicious homemade Egyptian food. Managed by Josiane & Nabil, French & Egyptian, English speakers - the Hotel is strategically located in the heart of down town Cairo, by the metro & Egyptian Museum."
"InterContinental Citystars Cairo, an IHG Hotel",4.5,"2,549",,,"Omar Ibn El Khattab Street Heliopolis, Cairo 11737 Egypt","Explore Cairo's heritage amidst modern luxuries and stay at the five-star InterContinental Citystars Cairo hotel in Cairo's Heliopolis, next to Stars Centre Mall. Relax in grand rooms with beautiful furnishings and views. Indulge at our 10 exquisite restaurants and bars. Need event space? Our private meeting rooms and Egypt's largest ballroom will satisfy your requirements. Our concierge gladly arranges private tours of the nearby Cairo Citadel, the Pyramids, and soon, The Grand Egyptian Museum."
Baron Hotel Cairo,4.0,831,"EGP�2,416",,"14 Al Baroon El-Montaza, Cairo 11511 Egypt",Hilltop Hotel located in business center of Heliopolis overlooking the famous Baron Empain Palace.
Paradise Boutique Hotel,4.0,78,,,"18 B 26 of July St, Cairo 11511 Egypt","Paradise Boutique Hotel is 2 star Hotel. located in Downtown Cairo.just a short 10 minutes walk from Tahrir Square. at the most vivid spot in Cairo, where you are surrounded by the most important squares, shops, restaurants, ATM's and Banks. Paradise Boutique Hotel Guests enjoy free WiFi connection throughout the hotel. Welcome to our Hotel"
Golden Tulip Flamenco Hotel Flamenco Cairo,3.5,457,,,"2 El Gezira El Wosta Street Zamalek, Cairo 11511 Egypt","Golden Tulip Flamenco is an excellent choice for travellers visiting Cairo, offering a family-friendly environment alongside many helpful amenities designed to enhance your stay.The rooms offer a flat screen TV and air conditioning, allowing you to rest and refresh with ease.Cairo Golden Tulip features room service and a concierge. In addition, as a valued Golden Tulip Flamenco guest, you can enjoy free breakfast that is available on-site.Close to some of Cairo's most popular landmarks, such as Cairo Tower (1.5 mi) and Zamalek (Gezira Island) (1.6 mi), Golden Tulip Flamenco is a great destination for tourists.Travellers looking to enjoy some shrimp can head to Kadoura Fish Restaurant, Birdcage, or Abou el-Sid. Otherwise, you may want to check out a French restaurant such as The Revolving Restaurant, Le Deck, or The Grill Restaurant & Lounge.Cairo is also home to Egyptian Geology Museum, a popular science museum that is not too far from Cairo Golden Tulip.Enjoy your stay in Cairo!"
Tolip Golden Plaza Hotel,3.5,98,"EGP�2,874",,"Omar Ibn El Khattab Street, Masaken Al Mohandesin City Stars Area, Cairo 02544 Egypt","Tolip Golden Plaza Hotel is conveniently located in the heart of Heliopolis, the notorious elegant residential and commercial area. The hotel is set 8km from Cairo International Airport, 12 km from the down town Cairo and just few minutes away from The Cairo International Convention Centre. The hotel also enjoys easy access to some of Egypt best shopping malls; it is at a 2-minute walk from City Stars Mall and at a 10-minute drive from Cairo Festival City Mall."
Cairo Paradise Hotel,4.5,172,,,"41 Sherif Street, Cairo 11511 Egypt","Situated in the heart of Cairo, we offers air-conditioned rooms with free Wi-Fi and a balcony. 24-hour front desk, which provides car rentals and a shuttle. The Egyptian Museum is a 10-minute walk away.The spacious rooms at Cairo Paradise Hotel come with a private or shared bathroom. All have a satellite TV and Satellite . Each features an individual decor and is fitted with heating and wooden floors.A continental fresh breakfast,is served daily for the guests.At the tour desk, guests can get information about things to see and do in Cairo. Nasser Metro Station and Ramses Train Station are within a 5-minute walk from the hotel."
"Holiday Inn Cairo - Citystars, an IHG Hotel",4.5,"1,087",,,"Ali Rashed Street Heliopolis, Cairo 11757 Egypt","A modern, family-friendly hotel in Cairo's dynamic Citystars Heliopolis In the heart of Citystars business and leisure complex and just 10 minutes from Cairo International Airport, the Holiday Inn� Cairo Citystars hotel is an ideal base for exploring the modern and historic attractions of Egypt's capital. Next to the hotel, Stars Centre Mall is home to over 640 of shops and high-tech amusements including Snow City and Magic Galaxy, Egypt's largest indoor theme park. Downtown Cairo is less than half an hour away. The hotel's family-friendly atmosphere makes everyone feel at home, from the rooftop garden with its adults' and children's swimming pools, to the Star Corner Caf� in the lobby. Open 24-hours, Windows Restaurant tempts diners with heaped international buffets and live cooking stations, and Indira Restaurant serves some of the best Indian food in Cairo. Business travelers appreciate the fast, free Wi-Fi, business center and 24-hour room service. Need to hold a meeting?"
"InterContinental Cairo Semiramis, an IHG Hotel",4.5,"2,840",,,"Corniche El Nil, Cairo 11511 Egypt","On the historic Semiramis hotel site, guests can enjoy modern luxury by the river Nile. Semiramis InterContinental Cairo is 23 KM from Cairo International airport with a premium location in the heart of the city center next to the Egyptian Museum and Khan el Khalili. The Hotel features a 26 sq m2 rooftop pool, fine dining with exquisite cuisine, conference facilities, a state of the art spa, a shopping arcade, and the Nile Terrace offering stunning views of the sunset over the Nile."
"InterContinental Citystars Cairo, an IHG Hotel",4.5,"2,549",,,"Omar Ibn El Khattab Street Heliopolis, Cairo 11737 Egypt","Explore Cairo's heritage amidst modern luxuries and stay at the five-star InterContinental Citystars Cairo hotel in Cairo's Heliopolis, next to Stars Centre Mall. Relax in grand rooms with beautiful furnishings and views. Indulge at our 10 exquisite restaurants and bars. Need event space? Our private meeting rooms and Egypt's largest ballroom will satisfy your requirements. Our concierge gladly arranges private tours of the nearby Cairo Citadel, the Pyramids, and soon, The Grand Egyptian Museum."
Renaissance Cairo Mirage City Hotel,4.5,"1,071",,,"Ring Road, Mirage City Heliopolis, Cairo 11511 Egypt","Welcome to Renaissance Cairo Mirage City Hotel, the latest addition to the luxurious Mirage City compound in New Cairo City, Cairo, Egypt's new business and leisure center. With 10 minutes to downtown Heliopolis with all its magnificence and glory. Renaissance Cairo Mirage City Hotel in Heliopolis is just the right mix of Cairo�s historic elegance and modern day sophistication that will make you feel at home the moment you check in."
Triumph Luxury Hotel,5.0,592,"EGP�5,092",,"Block 19 In Front Of Katameya Heights, Cairo 11511 Egypt","Contemporary designs, elegant interiors, and perfect location! Triumph Luxury Hotel is ideal for families, couples & business travelers alike. With its prime location in one of New Cairo�s best districts, the 5th settlement, the hotel is just a few minutes away from the business district, top shopping venues, and some of the best nightspots in town. The hotel also lies in close proximity to Cairo International Airport. Triumph Luxury Hotel offers you the ultimate hospitality experience you can wish for, in a warm & friendly manner"
"Holiday Inn & Suites Cairo Maadi, an IHG Hotel",4.0,754,"EGP�4,736",,"29 Corniche El Nil, Maadi Maadi, Cairo 11511 Egypt","Overlooking the majestic Nile River and hosting panoramic views of the Great Pyramids of Giza, Holiday Inn Suites Cairo Maadi is your perfect home away from home. Whether for business or leisure, our suites are perfectly crafted with state-of-the-art facilities to accommodate your long-term staying needs."
