name,ratings,prices,aminities,location,description
Al Moudira Hotel,4.5,"EGP 10,247",",Free parking,Free internet,Pool,Free breakfast,Airport transportation,Hammam,Baggage storage,Concierge,Wifi,Outdoor pool,Bar / lounge,Restaurant,Breakfast in the room,Snack bar,Poolside bar,Massage,Gift shop,Sun loungers / beach chairs,Sun terrace,24-hour front desk,Private check-in / check-out,Laundry service,Ironing service,Air conditioning,Room service,Safe,VIP room facilities,Minibar,Bridal suite,Non-smoking rooms,Suites,Family rooms","West Bank Hager Al Dabbeya, Luxor 23502 Egypt","Al Moudira Hotel is a very unique, privately owned boutique hotel in Luxor, resembling an oriental palace with its courtyards, fountains, archways, domed ceilings, and lush gardens.Al Moudira Hotel Luxor is located between the desert and farm fields on the West Bank; close to the Valley of the Kings and Queens, and is roughly 25 minutes from Luxor International Airport and ca. 15 minutes from the Nile.All of the guest bedrooms at Al Moudira Hotel are individually decorated and furnished. The spacious rooms with sitting area and hand painted murals are equipped with climate control, telephone, satellite TV, mini bar, room safe, hair dryer and full-sized bathroom with tub / shower."
Aracan Eatabe Luxor Hotel,4.0,"EGP 1,880",",Wifi,Pool,Free breakfast,Billiards,Kids pool,Airport transportation,Business Centre with Internet Access,Conference facilities,Pool / beach towels,Outdoor pool,Poolside bar,Restaurant,Breakfast buffet,Breakfast in the room,Taxi service,Banquet room,Meeting rooms,Baggage storage,Concierge,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Air conditioning,Private balcony,Room service,Safe,VIP room facilities,Flatscreen TV,Non-smoking rooms,Family rooms","Cornish El Nil, Luxor 99999 Egypt","Right in the centre of town, overlooking the Nile river, the Mercure Luxor is tucked away amidst shady gardens alongside a crescent moon shaped pool. Our spacious and naturally bright rooms, some of which have facilities for guests with limited mobility, all lookout over the Nile or the gardens. You will be in the perfect place for visiting the fabulous sites of Luxor and Karnak and can be sure of a wonderful holiday with a pleasant combination of leisure and exploration."
Hotel Sheherazade,4.5,EGP 942,",Free parking,Free High Speed Internet (WiFi),Pool,Free breakfast,Bicycle rental,Patio,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Street parking,Wifi,Pool / beach towels,Outdoor pool,Coffee shop,Poolside bar,Restaurant,Breakfast available,Outdoor dining area,Snack bar,Special diet menus,Board games / puzzles,Airport transportation,Shuttle bus service,Taxi service,Conference facilities,Meeting rooms,Baggage storage,Concierge,Currency exchange,Outdoor fireplace,Outdoor furniture,Sun deck,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,24-hour check-in,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Housekeeping,Room service,Wardrobe / wardrobe,Private bathrooms,Tile / marble floor,Refrigerator,Bath / shower,Non-smoking rooms,Family rooms,Smoking rooms available","Gezira El Bairat West Bank, Luxor Egypt","Hotel Sheherazade is ideally located far from crowds & noise, an oasis of calm in a green & shady garden. The building, in the style of Hassan Fathy, reflects the designs evoked in The Book of a Thousand and One Nights, Sheherazade being the name of the beautiful storyteller. As well as local tours, balloon trips etc., the hotel is pleased to offer desert safaris and Nile cruises. After a heavy day sightseeing, laze by the pool or watch the glorious sunsets from the roof top terrace."
Jewel of the Valley Howard Carter Hotel,5.0,"EGP 1,407",",Free parking,Free High Speed Internet (WiFi),Pool,Free breakfast,Bicycle rental,Hiking,Airport transportation,BBQ facilities,Secured parking,Wifi,Hot bath,Pool with view,Outdoor pool,Restaurant,Breakfast available,Breakfast in the room,Horseback riding,Concierge,Currency exchange,Non-smoking hotel,Outdoor furniture,Shared kitchen,Shared lounge / TV area,Sun loungers / beach chairs,Sun terrace,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Ironing service,Air conditioning,Housekeeping,Room service,Bottled water,Kitchenette,Flatscreen TV,Sofa bed,Bath / shower,Microwave,Minibar,Refrigerator,Complimentary toiletries,Hair dryer,City view,Landmark view,Pool view,Non-smoking rooms,Suites","Elgorf, Luxor 85958 Egypt","Located in Luxor, Jewel of the Valley Howard Carter Hotel “offers luxury accommodations. It offers free Wi-Fi in public areas and Luxor Temple is 2.2 km away. Some units include a private terrace and kitchen . Each one provides a satellite TV, a wardrobe and a desk. Featuring a shower, private bathrooms also come with a hairdryer,open air Jacuzzi,grill area, two panorama terrace and sundeck Guests can enjoy a daily breakfast in the room or at the restaurant. Other facilities offered include shared lounge, a tour desk and luggage storage. The guest house is 4.9 km from Karnak Temple and a 30-minute drive from Luxor International Airport. An airport shuttle is available upon request."
Bob Marley House Sherief Hotel Luxor,4.5,EGP 610,",Free public parking nearby,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Horseback riding,Airport transportation,Rooftop terrace,Baggage storage,Internet,Special diet menus,Car hire,Currency exchange,Shared lounge / TV area,Sun terrace,24-hour front desk,Ironing service,Shoeshine,Air conditioning,Safe,Non-smoking rooms,Family rooms","Badr Street East Bank, Luxor 99999 Egypt","The hostel is in Badr Street off television. st. you. Please be careful. Please do not listen to anyone who says that we are closed, changed our name or relocated or full. Even if they have our business card. just come to hostel ."
New Memnon Hotel,5.0,"EGP 1,508",",Free parking,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Hiking,Airport transportation,Business Centre with Internet Access,Conference facilities,Secured parking,Wifi,Coffee shop,Restaurant,Breakfast available,Breakfast in the room,Complimentary Instant Coffee,Complimentary tea,Special diet menus,Shuttle bus service,Car hire,Taxi service,Banquet room,Meeting rooms,Rooftop terrace,24-hour security,BBQ facilities,Baggage storage,Concierge,Non-smoking hotel,Outdoor fireplace,Outdoor furniture,Picnic area,Shared lounge / TV area,Sun deck,Sun loungers / beach chairs,Sun terrace,24-hour check-in,24-hour front desk,Express check-in / check-out,Private check-in / check-out,Dry cleaning,Laundry service,Ironing service,Air conditioning,Desk,Housekeeping,Private balcony,Refrigerator,Electric kettle,Cable / satellite TV,Walk-in shower,Safe,Wardrobe / wardrobe,Clothes rack,Iron,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Flatscreen TV,Complimentary toiletries,Mountain view,Non-smoking rooms,Family rooms","Memnon Street, Luxor Egypt","Providing an ideal mix of value, comfort and convenience, the New Memnon Hotel is close to some of Luxor's most popular landmarks, such as Temple of Medinat Habu (0.7 mi), Temple of Hatshepsut at Deir el Bahari (1.4 mi), Valley of the Kings (1.6 mi), Valley of the Artisans (Deir el-Medina) (1.0 mi), and Ramesseum (0.6 mi), only 2 minutes walk from the Colossi of Memnon. Our sparkling clean rooms offer a balcony, air conditioning, refrigerator, flat screen TV and free wifi. You can also take advantage of some of the amenities offered, including a 24 hour front desk, room service, and a sun terrace. In addition, guests can enjoy an on-site restaurant during their visit, which also caters for special diets."
Pyramisa Hotel Luxor,3.5,"EGP 1,033",",Free High Speed Internet (WiFi),Pool,Free breakfast,Banquet room,Meeting rooms,24-hour check-in,24-hour front desk,Dry cleaning,Wifi,Outdoor pool,Bar / lounge,Restaurant,Breakfast buffet,Poolside bar,Express check-in / check-out,Laundry service,Blackout curtains,Air conditioning,Desk,Housekeeping,Private balcony,Electric kettle,Flatscreen TV,Hair dryer,Room service,Safe,Telephone,Bottled water,Pool view,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Khaled Ibn El Walid St, Luxor Egypt","The biggest 4 star hotel directly on the Nile in the heart of Luxor. Most of the large 350 rooms and 100 family suites enjoy panoramic views of the Nile, gardens and 2 large swimming pools. In addition to a heated swimming-pool, resort facilities include Italian, Chinese and oriental restaurants, bar, lounge, children playground and a gym."
El Mesala Hotel,4.5,"EGP 1,385",",Free parking,Free High Speed Internet (WiFi),Pool,Free breakfast,Airport transportation,Rooftop terrace,Concierge,Laundry service,Wifi,Outdoor pool,Restaurant,Breakfast available,Air conditioning,Private balcony,Room service,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Ramla, West Bank 200m left from the West Bank ferry landing point., Luxor 10200 Egypt","Lovely Luxor hotel and restaurant on the West Bank, with fabulous views overlooking the River Nile. The perfect base for exploring all what Luxor has to offer. Our guests enjoy the peacefulness of the West Bank with easy access to the East bank. El Mesala Hotel is only few minutes away from the ferry and 1 min to motorboats to the city center, Luxor Temple, Karnak Temple. Close to the fascinating historic sites such as Valley of the Kings, Rameseum, Medinet Habu and others. Most rooms overlooking the Nile, some facing the Theban Hills. Spacious rooms, restaurant, swimming pool."
Gezira Garden Hotel,4.5,"EGP 1,514",",Free parking,Free High Speed Internet (WiFi),Pool,Free breakfast,Bicycle rental,Horseback riding,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Wifi,Pool / beach towels,Outdoor pool,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Kids' meals,Poolside bar,Billiards,Entertainment staff,Evening entertainment,Airport transportation,Shuttle bus service,Car hire,Business Centre with Internet Access,Conference facilities,Meeting rooms,Couples massage,Foot massage,Full body massage,Hand massage,Head massage,Massage,Neck massage,Rooftop terrace,BBQ facilities,Baggage storage,Concierge,Non-smoking hotel,Sun terrace,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Ironing service,Allergy-free room,Blackout curtains,Soundproof rooms,Air conditioning,Private balcony,Room service,Safe,Minibar,Pool view,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","West Bank Near Public Ferry, Luxor 1345177 Egypt","Gezira Garden If you are looking for a rest from the busy city of Luxor or after a long day of sightseeing and new impressions, then our oasis on the West Bank will provide just that. Enjoy your day reading a good book in our new Oriental garden, having a refreshing drink next to the swimming pool, or relaxing on the sun terraces on the roofs of our apartment complex. You will be rewarded with a spectacular sunset over the western mountains. In the Oriental Garden we invite you in our “Isis-Temple” to practice Yoga or Meditation. Surrounded by trees and citrus fruits, it´s the perfect place to find tranquillity and relaxation. Gezira Gardens consists of 8 apartments and 16 double rooms, all with ensuite bathrooms. One bedroom has two single beds, the other has a double bed. Each bedroom has a balcony which overlooks the garden of the hotel. The back window has a spectacular view across the fertile Nile valley to the mountains behind. The apartments can accommodate four (4) adults, or two (2) adults and two (2) children. All rooms and apartments are equipped with satellite-tv, telephone and air condition unit, refrigerator and free Wi-Fi. Gezira Gardens restaurant, bar and roof garden is located in the new hotel complex. After a busy day, you can enjoy a traditional Egyptian dinner or international dishes and savour a fine bottle of Egyptian wine. You are welcome to visit Hotel Gezira's stunning roof terrace. The vacation complex has an Oriental garden, a swimming-pool and facilities for billiard. We also offer laundry service (for a small cost). The distance from Gezira Gardens to the Nile is about a three minute walk. Small supermarkets and shops are nearby."
Pyramids Luxor Hotel,5.0,EGP 561,",Free parking,Free High Speed Internet (WiFi),Hot bath,Free breakfast,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Concierge,Wifi,Restaurant,Breakfast available,Laundry service,Self-serve laundry,Air conditioning,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","West Bank, Gezira Ramla Nile Street, Luxor 55555 Egypt","""MOISES LUXOR HOTEL"" recreates the Pharaonic palace of Ramses on the banks of the River Nile in front of luxor temple in Luxor West Bank or land of the deads. Facilities: wiffi internet in all areas, jacuzzi, restaurant buffet, indoor gardens, rooms with private bathroom and tub or shower, airconditioning, fans and heaters, television. We are an Original blend of home with the magic of ancient Egyptian, that make us different from any one else !!!"
Villa Nile House,5.0,"EGP 1,430",",Free parking,Free High Speed Internet (WiFi),Pool,Free breakfast,Bicycle rental,Entertainment staff,Children Activities (Kid / Family Friendly),Kids pool,Car park,Wifi,Pool / beach towels,Outdoor pool,Bar / lounge,Restaurant,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Shuttle bus service,Car hire,Rooftop terrace,Currency exchange,Mosquito net,Non-smoking hotel,Picnic area,Shared lounge / TV area,Sun terrace,Dry cleaning,Laundry service,Air conditioning,Private balcony,Room service,Wake-up service / alarm clock,Bath / shower,Non-smoking rooms,Family rooms","Ramlah - El Gezira West Bank, Luxor Egypt","Villa Nile House is an excellent choice for travellers visiting Luxor, offering a romantic environment alongside many helpful amenities designed to enhance your stay.While staying at Villa Nile House, visitors can check out Avenue of Sphinxes (0.5 mi) and Obelisk of Thutmoses I (2.0 mi), some of Luxor's top attractions.Guest rooms offer air conditioning and a mosquito net, and Villa Nile House makes getting online easy as free wifi is available.You can also take advantage of some of the amenities offered by the bed and breakfast, including room service, currency exchange, and a sun terrace. In addition, guests can enjoy a pool and free breakfast during their visit. As an added convenience, there is free parking available to guests.While in Luxor, you may want to check out some of the restaurants that are a short walk away from Villa Nile House, including The Lantern Room Restaurant (0.9 mi), 1886 Restaurant (0.4 mi), and Al-Sahaby Lane Restaurant (0.7 mi).Looking to explore? Then look no further than Luxor Temple (0.5 mi), which is a popular Luxor attraction – and it is conveniently located within walking distance of the bed and breakfast.Enjoy your stay in Luxor!"
Iberotel Luxor,4.0,"EGP 1,860",",Free internet,Outdoor pool,Bar / lounge,Airport transportation,Business Centre with Internet Access,Banquet room,Baggage storage,Concierge,Public wifi,Paid internet,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Swimup bar,Poolside bar,Taxi service,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Housekeeping,Private balcony,Room service,Safe,Telephone,Minibar,Cable / satellite TV,VIP room facilities,Wake-up service / alarm clock,Non-smoking rooms","Khaled Ibn El Walid Street, Luxor Egypt","Iberotel Luxor has an excellent location direclty overlooking the banks of the Nile & is ideal for romantic getaways, honeymoons or those fascinated by the marvels and mysteries of ancient Egypt. Centrally located in Luxor, it's just ten minutes walking from the Temple of Luxor. This four-star property offers spectacular views of the river, the west bank & the distant hills of Thebes from its rooms & from the verdant garden terrace. Near the hotel, the ferry crossing to the west bank will allow you to visit the Valley of the Kings, Valley of the Queens, Hatshepsut Temple and the Memnon Colossus while the Temple of Karnak is just three km away. The hotel is the winner of Tripadvisor Certificate of Excellence for 2012 & 2011, the winner of E-cristal certificate for 2012,Iso -14001 for 2012, Travelife Gold Award winner for 2011 & 2010 & the Cristal Certificate of Excellence 2010."
