Hotel Names,Ratings,Number of Reviews,Prices,amenities,links,location,Description
9. Dusit Thani LakeView Cairo,4.5 of 5 bubbles,"3,541 reviews","EGP 7,270","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Pool view,Hair dryer,Complimentary toiletries,Bath / shower,Flatscreen TV,Electric kettle,Wake-up service / alarm clock,Tile / marble floor,Private bathrooms,Iron,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Seating area,Safe,Room service,Private balcony,Interconnected rooms available,Bathrobes,Walk-in shower,Cable / satellite TV,Minibar,Housekeeping,Desk,Air conditioning,Soundproof rooms,Blackout curtains,Shoeshine,Ironing service,Laundry service,Dry cleaning,Private check-in / check-out,Express check-in / check-out,24-hour front desk,24-hour check-in,First aid kit,Doorperson,Butler service,ATM on site,Sun umbrellas,Sun loungers / beach chairs,Sun deck,Outdoor furniture,Executive lounge access,Currency exchange,Concierge,Baggage storage,24-hour security,Steam room,Salon,Neck massage,Massage,Head massage,Hammam,Full body massage,Foot massage,Facial treatments,Couples massage,Body wrap,Spa,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Shuttle bus service,Airport transportation,Free shuttle or taxi services,Highchairs available,Kids' outdoor play equipment,Kids pool,Children Activities (Kid / Family Friendly),Children's playground,Poolside bar,Swimup bar,Wine / champagne,Special diet menus,Snack bar,Outdoor dining area,Kids' meals,Kid-friendly buffet,Complimentary welcome drink,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Sauna,Fitness classes,Fitness / spa changing rooms,Plunge pool,Heated pool,Outdoor pool,Adult pool,Pool / beach towels,Paid internet,Wifi,Babysitting,Kids stay free,Entertainment staff,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d1146358-Reviews-Dusit_Thani_LakeView_Cairo-Cairo_Cairo_Governorate.html,"El Tesseen Street City Centre, Fifth Settlement, New Cairo, Cairo 11511 Egypt","An oasis of greenery in the heart of New Cairo, Dusit Thani Lake View Cairo brings a taste of gracious Thai hospitality to the center of Egypt. Conveniently situated near Cairo International airport, the hotel enjoys pride of place in New Cairo’s Fifth Settlement in close proximity to the main roads that lead to major attractions, including the Pyramids, Sphinx, Citadel and Egyptian Museum. Guests are welcomed with elegant rooms and suites, three outdoor swimming pools, a fitness center, world-class spa and an array of fine dining options spanning a world of tastes and flavours."
10. Royal Maxim Palace Kempinski Cairo,4.5 of 5 bubbles,"2,041 reviews","EGP 6,376","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Pool view,City view,Hair dryer,Bath / shower,Radio,Flatscreen TV,Electric kettle,Minibar,Wake-up service / alarm clock,Tile / marble floor,Private bathrooms,Iron,Clothes rack,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Safe,Room service,Private balcony,Interconnected rooms available,Housekeeping,Bathrobes,Bidet,Cable / satellite TV,Coffee / tea maker,Fireplace,Desk,Air conditioning,Blackout curtains,Allergy-free room,Shoeshine,Ironing service,Laundry service,Dry cleaning,24-hour front desk,24-hour check-in,Umbrella,First aid kit,Doorperson,Butler service,ATM on site,Sun umbrellas,Newspaper,Gift shop,Executive lounge access,Currency exchange,Concierge,Baggage storage,BBQ facilities,24-hour security,Waxing services,Steam room,Salon,Pedicure,Neck massage,Massage,Manicure,Light therapy,Head massage,Hand massage,Hammam,Foot massage,Facial treatments,Couples massage,Spa,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Shuttle bus service,Airport transportation,Free shuttle or taxi services,Highchairs available,Kids pool,Kids club,Children Activities (Kid / Family Friendly),Indoor play area for children,Children's television networks,Children's playground,Babysitting,Poolside bar,Outdoor dining area,Complimentary welcome drink,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Sauna,Personal trainer,Fitness classes,Fitness / spa changing rooms,Shallow end in pool,Heated pool,Outdoor pool,Indoor pool,Adult pool,Infinity pool,Pool / beach towels,Hot bath,Wifi,Paid private parking on-site,Kids stay free,Evening entertainment,Entertainment staff,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d8489537-Reviews-Royal_Maxim_Palace_Kempinski_Cairo-Cairo_Cairo_Governorate.html,"First Settlement, Cairo 11511 Egypt","Let us welcome you to Royal Maxim Palace Kempinski, a haven of tranquillity in the heart of New Cairo. Offering a range of palatial services, the 5 star hotel features the finest facilities coupled with the highest levels of service. The hotel’s optimum location on the city’s ring road and its close proximity to Cairo International Airport make it the perfect starting point from which to explore Cairo’s treasures. With a distinctive architecture standing proudly against the New Cairo skyline, each of the 245 rooms and suites present comfortable and elegant fittings and furnishings. Enhance your stay with a visit to one of our eight exceptional restaurants & bars, or treat yourself to a rejuvenating treatment at our world-class Resense Spa. The unique architecture of New Cairo’s palatial landmark extends to our dedicated banquet floor, which includes 11 customisable meeting rooms and the largest ballroom in Egypt, Excelsior Ballroom."
Sofitel Cairo Nile El Gezirah,4.5 of 5 bubbles,"3,918 reviews","EGP 5,122","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Landmark view,City view,Hair dryer,Flatscreen TV,Electric kettle,Refrigerator,Wake-up service / alarm clock,Private bathrooms,Iron,Clothes rack,Bottled water,Wardrobe / wardrobe,Telephone,Seating area,Room service,Private balcony,Interconnected rooms available,Housekeeping,Bath / shower,Cable / satellite TV,Minibar,Desk,Additional bathroom,Air conditioning,Bathrobes,Blackout curtains,Shoeshine,Ironing service,Laundry service,Dry cleaning,Express check-in / check-out,24-hour front desk,24-hour check-in,Umbrella,Doorperson,Butler service,ATM on site,Sun umbrellas,Sun loungers / beach chairs,Sun deck,Shops,Outdoor furniture,Newspaper,Gift shop,Executive lounge access,Currency exchange,Concierge,Baggage storage,24-hour security,Steam room,Salon,Pedicure,Neck massage,Massage,Manicure,Makeup services,Head massage,Hammam,Full body massage,Foot massage,Facial treatments,Couples massage,Body wrap,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Airport transportation,Kids pool,Babysitting,Nightclub / DJ,Patio,Evening entertainment,Poolside bar,Swimup bar,Wine / champagne,Special diet menus,Snack bar,Outdoor dining area,Kids' meals,Kid-friendly buffet,Happy hour,Complimentary welcome drink,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Sauna,Fitness classes,Fitness / spa changing rooms,Yoga classes,Heated pool,Outdoor pool,Pool with view,Infinity pool,Pool / beach towels,Hot bath,Wifi,Paid private parking on-site,Kids stay free,Entertainment staff,Casino and Gambling,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free internet,Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d304481-Reviews-Sofitel_Cairo_Nile_El_Gezirah-Cairo_Cairo_Governorate.html,"3 El Thawra Council St Zamalek, Cairo Egypt","On the southern tip of Gezirah Island, the hotel is a corner of paradise in central Cairo, minutes from Cairo’s business districts. Discover a haven of peace during a vacation in Egypt, and a comfortable base to rest after a successful day of business. Relax by the pool, pamper yourself in Sofitel SPA, wine and dine in our international restaurants and bars. Surrender to luxury and come for a day, a weekend, a week…or more. A stroll along the hotel’s lush riverside promenade takes you to a host of acclaimed restaurants and bars. You can take your time, enjoying the cool shade of exotic palms and breathing in the scent of hibiscus. You’ll hear the gentle sound of water lapping as you rest on a Nile-side terrace with a cool drink, and dine on international cuisine. It’s especially beautiful at dusk, when the sun sets over Cairo’s skyline and vibrant nightlife. Escape the city for a day at our secluded Cairo hotel, which feels like an exclusive Egyptian resort set in lush gardens. Take advantage of Sofitel SPA and Sofitel FIT, float in an infinity pool overlooking the Nile, unwind in a bubbling whirlpool bath… whatever you desire. Day membership includes discounts to the restaurants and bars which line the Nile-side promenade, promising refreshment and fun for families, couples and friends."
11. Le Meridien Cairo Airport,4.5 of 5 bubbles,"1,582 reviews","EGP 4,024","Family rooms,Suites,Non-smoking rooms,Hair dryer,iPod docking station,Minibar,Wake-up service / alarm clock,Iron,Clothes rack,VIP room facilities,Telephone,Seating area,Safe,Bath / shower,Flatscreen TV,Coffee / tea maker,Room service,Desk,Air conditioning,Soundproof rooms,Allergy-free room,Ironing service,Laundry service,Dry cleaning,Express check-in / check-out,24-hour front desk,Doorperson,ATM on site,Non-smoking hotel,Currency exchange,Concierge,Baggage storage,24-hour security,Salon,Spa,Meeting rooms,Banquet room,Taxi service,Car hire,Airport transportation,Free shuttle or taxi services,Poolside bar,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Sauna,Fitness / spa changing rooms,Heated pool,Outdoor pool,Pool / beach towels,Hot bath,Wifi,Paid private parking on-site,Conference facilities,Free airport transportation,Kids stay free,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d5040629-Reviews-Le_Meridien_Cairo_Airport-Cairo_Cairo_Governorate.html,"3 Cairo International Airport, Terminal Cairo International Airport, Terminal 3, Cairo 11511 Egypt","Your Gateway to Egypt's Discovery. Le Méridien Cairo Airport offers 66 club floor rooms with a dedicated club lounge, 264 deluxe rooms, 9 studio suites, 9 panoramic deluxe suites and 1 presidential suite - all inside of Cairo's airport. All rooms and suites are fully soundproofed, smoke-free, and feature the Le Méridien signature beds. The refined and modern design creates a perfectly relaxed experience. A combination of complimentary WIFI + cable connection coupled with the latest technology makes it easy to conduct business if necessary."
12. Fairmont Nile City,4.5 of 5 bubbles,"5,393 reviews","EGP 5,873EGP 4,838","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,City view,Hair dryer,Complimentary toiletries,Bath / shower,Whirlpool bathtub,Walk-in shower,iPod docking station,Radio,On-demand films,Flatscreen TV,Electric kettle,Refrigerator,Minibar,Kitchenette,Wake-up service / alarm clock,Tile / marble floor,Private bathrooms,Laptop safe,Iron,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Sofa,Separate living room,Separate dining area,Seating area,Safe,Room service,Private balcony,Interconnected rooms available,Housekeeping,Dining area,Bathrobes,Air purifier,Bidet,Cable / satellite TV,Coffee / tea maker,Desk,Additional bathroom,Air conditioning,Blackout curtains,Allergy-free room,Shoeshine,Ironing service,Laundry service,Dry cleaning,Clothes dryer,Private check-in / check-out,Express check-in / check-out,24-hour front desk,24-hour check-in,Umbrella,Infirmary,First aid kit,Doorperson,Butler service,ATM on site,Sun umbrellas,Sun terrace,Sun loungers / beach chairs,Sun deck,Shops,Shared lounge / TV area,Shared bathroom,Outdoor furniture,Newspaper,Gift shop,Executive lounge access,Currency exchange,Concierge,Baggage storage,24-hour security,Rooftop terrace,Waxing services,Steam room,Salon,Pedicure,Neck massage,Massage chair,Massage,Manicure,Makeup services,Head massage,Hand massage,Hammam,Full body massage,Foot massage,Foot bath,Facial treatments,Couples massage,Body wrap,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Shuttle bus service,Airport transportation,Free airport transportation,Highchairs available,Kids pool,Children's television networks,Babysitting,Nightclub / DJ,Evening entertainment,Entertainment staff,Rooftop bar,Poolside bar,Wine / champagne,Special diet menus,Snack bar,Outdoor dining area,Kids' meals,Kid-friendly buffet,Happy hour,Complimentary welcome drink,Complimentary tea,Complimentary Instant Coffee,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Sauna,Personal trainer,Fitness classes,Fitness / spa changing rooms,Yoga room,Yoga classes,Shallow end in pool,Outdoor pool,Adult pool,Pool with view,Rooftop pool,Pool / beach towels,Hot bath,Paid wifi,Wifi,Paid private parking on-site,Kids stay free,Aerobics,Casino and Gambling,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d580690-Reviews-Fairmont_Nile_City-Cairo_Cairo_Governorate.html,"Nile City Towers - 2005 B, Corniche El Nil Ramlet Beaulac, Cairo 2466 Egypt","A melting pot of history and diversity, the city of Cairo is ideal for both business and leisure. Like the city itself, Fairmont Nile City offers a delightful series of contrasts, combining advanced technology and modern design with local flavors and flair. With sweeping panoramas of the river Nile and the Pyramids in the distance, Cairo’s beauty and history are always in sight from your luxury accommodation. During your stay, embark on culinary adventures at the city’s finest restaurants, enjoy the fresh air at our rooftop poolside restaurant and pamper yourself at Willow Stream Spa. Part of the prestigious Nile City complex, this luxury hotel is the perfect location for business events. The space consists of 845 square meters (9,100 square feet) plus 450 square meters (4,800 square feet) of outdoor space dedicated to meetings and conventions, comprising of 10 meeting rooms including a ballroom. The space also offers spectacular river Nile views."
13. Hilton Cairo Heliopolis,4 of 5 bubbles,"1,738 reviews","EGP 4,788EGP 4,704","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Pool view,City view,Hair dryer,Complimentary toiletries,Flatscreen TV,Electric kettle,Minibar,Wake-up service / alarm clock,Private bathrooms,Iron,Clothes rack,Wardrobe / wardrobe,VIP room facilities,Telephone,Seating area,Safe,Room service,Bath / shower,Cable / satellite TV,Coffee / tea maker,Interconnected rooms available,Housekeeping,Desk,Air conditioning,Blackout curtains,Shoeshine,Ironing service,Laundry service,Dry cleaning,Express check-in / check-out,24-hour front desk,24-hour check-in,First aid kit,Doorperson,ATM on site,Sun terrace,Sun loungers / beach chairs,Shops,Outdoor furniture,Executive lounge access,Currency exchange,Concierge,Baggage storage,24-hour security,Salon,Meeting rooms,Banquet room,Conference facilities,Airport transportation,Highchairs available,Kids' outdoor play equipment,Kids pool,Children Activities (Kid / Family Friendly),Children's television networks,Evening entertainment,Tennis court,Poolside bar,Snack bar,Outdoor dining area,Kids' meals,Kid-friendly buffet,Complimentary welcome drink,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Fitness classes,Heated pool,Outdoor pool,Pool / beach towels,Hot bath,Paid internet,Wifi,Car park,Children's playground,Squash,Casino and Gambling,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free internet,Paid private parking on-site,",https://www.tripadvisor.in/Hotel_Review-g294201-d1157029-Reviews-Hilton_Cairo_Heliopolis-Cairo_Cairo_Governorate.html,"El-Orouba Qism El-Nozha, Cairo 2466 Egypt","Finding an ideal family-friendly hotel in Cairo does not have to be difficult. Welcome to Hilton Cairo Heliopolis, a nice option for travelers like you. While staying at Hilton Cairo Heliopolis, visitors can check out Baron Palace (2.1 mi) and St. Mark's Coptic Orthodox Church (2.3 mi), some of Cairo's top attractions. You’ll enjoy relaxing rooms that offer a flat screen TV, air conditioning, and a minibar, and you can stay connected during your stay as Hilton Cairo Heliopolis offers guests free Wi-Fi. The hotel features room service and a concierge. Plus, Hilton Cairo Heliopolis offers a pool, and providing a pleasant respite from your busy day. During your stay enjoy variety of international cuisines such as Raj Indian Restaurant, Leonardo Italian restaurant, Lan-Tania Thai Restaurant, Nobel house Asian restaurant and Al-Dabke Lebanese restaurant. While in Cairo be sure to experience nearby popular attractions like Egyptian Air Force Museum (0.9 mi) and Obelisk of Ramses II (1.2 mi), which are all within walking distance of the hotel. Hilton Cairo Heliopolis looks forward to welcoming you on your visit to Cairo. NOTE: The following services and amenities are available, but with reduced service: Business Center, Fitness Center, On-site Restaurant(s)."
14. Ramses Hilton,4 of 5 bubbles,"4,180 reviews","EGP 4,454","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Landmark view,City view,Hair dryer,Bath / shower,Flatscreen TV,Electric kettle,Refrigerator,Minibar,Wake-up service / alarm clock,Private bathrooms,Iron,Bottled water,Wardrobe / wardrobe,VIP room facilities,Sofa,Safe,Room service,Private balcony,Walk-in shower,Sofa bed,Cable / satellite TV,Coffee / tea maker,Housekeeping,Desk,Air conditioning,Blackout curtains,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,Butler service,ATM on site,Sun terrace,Shops,Shared lounge / TV area,Gift shop,Executive lounge access,Currency exchange,Concierge,Baggage storage,24-hour security,Rooftop terrace,Salon,Massage,Full body massage,Spa,Photo copier / fax In business centre,Meeting rooms,Banquet room,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Airport transportation,Highchairs available,Kids' outdoor play equipment,Indoor play area for children,Children's television networks,Children's playground,Poolside bar,Snack bar,Outdoor dining area,Kids' meals,Kid-friendly buffet,Happy hour,Complimentary welcome drink,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Coffee shop,Sauna,Outdoor pool,Pool with view,Pool / beach towels,Paid internet,Wifi,Paid private parking on-site,Kids stay free,Nightclub / DJ,Casino and Gambling,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d300669-Reviews-Ramses_Hilton-Cairo_Cairo_Governorate.html,"Corniche El Nile 1115, Cairo 12344 Egypt","Finding an ideal luxury hotel in Cairo does not have to be difficult. Welcome to Ramses Hilton, a nice option for travellers like you.Given the close proximity of popular landmarks, such as Zamalek (Gezira Island) (0.5 mi) and Mosque of Al-Azhar (0.9 mi), guests of Ramses Hilton can easily experience some of Cairo's most well known attractions.Ramses Hilton Hotel is a luxury hotel offering a flat screen TV, air conditioning, and a refrigerator in the rooms, and it is easy to stay connected during your stay as free wifi is offered to guests.The hotel features room service, a rooftop terrace, and a concierge. Plus, guests can enjoy a pool and free breakfast, which have made this a popular choice among travellers visiting Cairo. For guests with a vehicle, parking is available.While you’re here, be sure to check out some of the diners, including Kamala at Conrad Cairo, Bikers' Joint, and 3Almashy Egypt, all of which are a short distance from Ramses Hilton.Cairo is also home to Military Museum, a popular military museum that is not too far from Ramses Hilton.Ramses Hilton looks forward to welcoming you on your visit to Cairo."
15. Novotel Cairo Airport,4 of 5 bubbles,"2,222 reviews","EGP 2,373EGP 2,318","Smoking rooms available,Suites,Non-smoking rooms,Pool view,Hair dryer,Complimentary toiletries,Electric kettle,Minibar,Wake-up service / alarm clock,Tile / marble floor,Private bathrooms,Laptop safe,Clothes rack,Bottled water,Wardrobe / wardrobe,VIP room facilities,Telephone,Sofa,Safe,Room service,Bath / shower,Sofa bed,Flatscreen TV,Coffee / tea maker,Interconnected rooms available,Housekeeping,Air conditioning,Blackout curtains,Shoeshine,Ironing service,Laundry service,Dry cleaning,Express check-in / check-out,24-hour front desk,24-hour check-in,Doorperson,ATM on site,Shops,Newspaper,Currency exchange,Baggage storage,24-hour security,Salon,Spa,Meeting rooms,Banquet room,Conference facilities,Taxi service,Car hire,Shuttle bus service,Airport transportation,Free shuttle or taxi services,Poolside bar,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Fitness / spa changing rooms,Outdoor pool,Adult pool,Pool / beach towels,Wifi,Free airport transportation,Kids pool,Kids stay free,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d299611-Reviews-Novotel_Cairo_Airport-Cairo_Cairo_Governorate.html,Cairo 11776 Egypt,"Touch down in 4-star comfort at Novotel Cairo Airport hotel, a 5-minute ride from the terminals on the free 24-hour shuttle. Relax under the palms in the courtyard, or re-energise with a dip in the pool. All-day dining means you won't fly hungry. Your modern soundproofed room lets you stretch out and enjoy a restful night at Novotel."
"Staybridge Suites Cairo - Citystars, an IHG Hotel",4.5 of 5 bubbles,234 reviews,"EGP 4,825","Family rooms,Suites,Non-smoking rooms,Flatscreen TV,Refrigerator,Microwave,Kitchenette,Housekeeping,Air conditioning,Self-serve laundry,Laundry service,Dry cleaning,24-hour front desk,Shops,Non-smoking hotel,Currency exchange,Convenience store,Concierge,Baggage storage,Meeting rooms,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Wifi,Business Centre with Internet Access,Car hire,Babysitting,Kids stay free,Free breakfast,Fitness Centre with Gym / Workout Room,Free High Speed Internet (WiFi),Parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d1150283-Reviews-Staybridge_Suites_Cairo_Citystars_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"Emtedad Makram Obied Street Heliopolis, Cairo 11737 Egypt","Modern serviced apartments for extended stays in dynamic Cairo Citystars. Offering the comfort and convenience of a home away from home, Staybridge Suites® Cairo Citystars has everything you need for independent living in the exciting commercial hub of Heliopolis. With direct access to Stars Centre shopping mall, and just a seven-minute drive from Cairo International Airport and Cairo International Convention and Exhibition Centre, our 140 fully furnished studios and suites place travelers where they need to be. The buzzing streets of downtown Cairo are half an hour away, with the Great Pyramids a little further. Business travelers on extended stays in Cairo can settle into a spacious studio or suite with up to three bedrooms. Full kitchens and living areas let you cook, work and entertain in style, and Wi-Fi is complimentary throughout. A free buffet breakfast sets you up for the day, and an Evening Social invites you to mingle with fellow guests over dinner three nights a week."
16. Grand Nile Tower,3.5 of 5 bubbles,937 reviews,"EGP 5,316EGP 4,088","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,Landmark view,Hair dryer,Complimentary toiletries,Flatscreen TV,Electric kettle,Wake-up service / alarm clock,Private bathrooms,Bottled water,Wardrobe / wardrobe,Telephone,Sofa,Seating area,Safe,Bath / shower,Cable / satellite TV,Minibar,Room service,Private balcony,Housekeeping,Air conditioning,Bathrobes,Ironing service,Laundry service,24-hour front desk,Sun terrace,Newspaper,Gift shop,Concierge,24-hour security,Spa,Meeting rooms,Banquet room,Conference facilities,Outdoor dining area,Kid-friendly buffet,Breakfast in the room,Breakfast available,Fitness / spa changing rooms,Outdoor pool,Pool with view,Paid private parking on-site,Business Centre with Internet Access,Airport transportation,Kids pool,Restaurant,Fitness Centre with Gym / Workout Room,Pool,Wifi,Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d308091-Reviews-Grand_Nile_Tower-Cairo_Cairo_Governorate.html,"Corniche El Nile Garden City, Roda Island, Cairo 11511 Egypt","A haven within the cosmopolitan vibrant city of Cairo.One of Cairo's most luxurious hotels,Grand Nile Tower is a family hotel directly situated on the magnificent Nile river with a prime location in central Cairo,close to many cultural and tourist 's attractions.This stunning Kid-friendly Hotel offers you the finest service and experiences,elegantly designed accommodation that includes a wide selection of room types all of them are overlooking the splendid Nile River.The rooms and suites are having balconies with spectacular Nile views. A wide array of cuisines at any of our eight restaurants and lounges,including the highly acclaimed Revolving restaurant at the 41st floor .The restaurant is the highest rotating restaurant in the Middle East .As a guest,you can also access the exquisite conference and banqueting facilities for hosting memorable social and corporate events."
17. Dahab Hostel,4.5 of 5 bubbles,576 reviews,EGP 499EGP 329,"Non-smoking rooms,Sun terrace,Shared lounge / TV area,Shared kitchen,Shared bathroom,Baggage storage,Taxi service,Laundry service,24-hour front desk,24-hour security,Rooftop terrace,Airport transportation,Board games / puzzles,Wifi,Free High Speed Internet (WiFi),",https://www.tripadvisor.in/Hotel_Review-g294201-d629999-Reviews-Dahab_Hostel-Cairo_Cairo_Governorate.html,"26 Mahmoud Bassiouny Rooftop, 7th Floor, Talat Harb Sq, Cairo 11511 Egypt","Dahab Hostel, Your Oasis in the City... It has been open since 1998. It has been registered in all the major guidebooks and has consistently received positive reviews. Dabab Hostel is centrally located in the heart of Downtown Cairo. It is just a 3-minute-walking distance to the Egyptian Museum in Tahrir Sq., and within easy reach to the main train and bus stations. Dabab Hostel has its own special charm. It is a collection of whitewashed huts on the rooftop attempting to recreate the feel of Sinai beach camp in an unremittingly urban Downtown Cairo. Once you get inside, you will definitely sense the totally laid-back, chilled out and cozy atmosphere. The outdoor garden area is just superb for lounging around and catching up with other travelers in the evening. The breeze is refreshing and the vibe is incontestable. It is an ideal place for artistic travellers as well. Enjoy the fantastic reggae music played, laying back in the sun, smoking Shisha 'Water pipe' on the rooftop at the Bedwin corner. Sit back & relax, plan your itineraries & catch up with your family & friends by logging onto our new optimized FREE WiFi Broadband Internet coverage for the entire hostel. Our rooms are equipped withprivate facilities and A/C. We have single, double and private dorms available and there are 39 rooms in total. Airport Pickup Service Once you have made your booking, you will be contacted by a staff member to organize it with you. At the airport, you will find our representative waiting for you holding a sign of your name and Dahab hostel, after you finish passport checking and custom clearance. Things to see in the local area Shopping Bazars. Khan El-Khalili Market. Al Azhar Mosque. Old Cairo /Islamic Cairo. Coptic Area. The Citadel. Cairo Tower. Cairo Opera House. In the evenings, the local area has a wide variety of restaurants and lively nightspots. Thank you for choosing Dahab Hostel ... See you soon in Cairo... ...::: NEW :::... Check out our new Deluxe rooms with private facilities and A/C"
18. JW Marriott Hotel Cairo,4.5 of 5 bubbles,"1,748 reviews","EGP 8,658EGP 8,437","Smoking rooms available,Family rooms,Suites,Non-smoking rooms,Bridal suite,VIP room facilities,Safe,Room service,Flatscreen TV,Refrigerator,Minibar,Private balcony,Interconnected rooms available,Housekeeping,Air conditioning,Allergy-free room,Shoeshine,Ironing service,Laundry service,Dry cleaning,24-hour front desk,Doorperson,Butler service,ATM on site,Currency exchange,Concierge,Baggage storage,24-hour security,Steam room,Salon,Massage,Facial treatments,Spa,Meeting rooms,Conference facilities,Business Centre with Internet Access,Taxi service,Car hire,Shuttle bus service,Airport transportation,Free shuttle or taxi services,Free airport transportation,Kids club,Children Activities (Kid / Family Friendly),Babysitting,Poolside bar,Breakfast in the room,Breakfast buffet,Breakfast available,Restaurant,Sauna,Fitness classes,Fitness / spa changing rooms,Heated pool,Outdoor pool,Indoor pool,Adult pool,Pool / beach towels,Wifi,Kids stay free,Tennis court,Golf course,Bar / lounge,Fitness Centre with Gym / Workout Room,Pool,Free High Speed Internet (WiFi),Valet parking,",https://www.tripadvisor.in/Hotel_Review-g294201-d299728-Reviews-JW_Marriott_Hotel_Cairo-Cairo_Cairo_Governorate.html,"Ring Road- Mirage City Heliopolis, Cairo 11757 Egypt","Treat yourself to a new standard of elegance at the award-winning JW Marriott Hotel Cairo. Set against the unique and magical backdrop of Cairo, Egypt, a vibrant city steeped in 7,000 years of history and culture, our luxury hotel provides a combination of relaxed sophistication and personalized service. 440 impeccably appointed hotel rooms and suites offer every luxury for your Heliopolis visit, from pillowtop mattresses and marble bathrooms to 24-hour room service and high-speed Internet. Our stunning suites feature impressive views of our golf course, or ""The Beach."" With 12 diverse dining options at your disposal, you can rest assured that your appetite will always be satisfied. Indulge in a luxury treatment at the 27,000-square foot Mandara Spa, or play a round at our Mirage City Golf Club. Plan your next event with us in Heliopolis; our hotel features gorgeous, flexible venue space and comprehensive planning services. For the getaway of a lifetime here in Egypt, choose the JW Marriott Hotel Cairo."
