Hotel Names,Ratings,Number of Reviews,Prices,links,location,Description
9. Dusit Thani LakeView Cairo,4.5 of 5 bubbles,"3,538 reviews","EGP 8,724EGP 7,270",https://www.tripadvisor.in/Hotel_Review-g294201-d1146358-Reviews-Dusit_Thani_LakeView_Cairo-Cairo_Cairo_Governorate.html,"El Tesseen Street City Centre, Fifth Settlement, New Cairo, Cairo 11511 Egypt","An oasis of greenery in the heart of New Cairo, Dusit Thani Lake View Cairo brings a taste of gracious Thai hospitality to the center of Egypt. Conveniently situated near Cairo International airport, the hotel enjoys pride of place in New Cairo’s Fifth Settlement in close proximity to the main roads that lead to major attractions, including the Pyramids, Sphinx, Citadel and Egyptian Museum. Guests are welcomed with elegant rooms and suites, three outdoor swimming pools, a fitness center, world-class spa and an array of fine dining options spanning a world of tastes and flavours."
10. Royal Maxim Palace Kempinski Cairo,4.5 of 5 bubbles,"2,041 reviews","EGP 7,389",https://www.tripadvisor.in/Hotel_Review-g294201-d8489537-Reviews-Royal_Maxim_Palace_Kempinski_Cairo-Cairo_Cairo_Governorate.html,"First Settlement, Cairo 11511 Egypt","Let us welcome you to Royal Maxim Palace Kempinski, a haven of tranquillity in the heart of New Cairo. Offering a range of palatial services, the 5 star hotel features the finest facilities coupled with the highest levels of service. The hotel’s optimum location on the city’s ring road and its close proximity to Cairo International Airport make it the perfect starting point from which to explore Cairo’s treasures. With a distinctive architecture standing proudly against the New Cairo skyline, each of the 245 rooms and suites present comfortable and elegant fittings and furnishings. Enhance your stay with a visit to one of our eight exceptional restaurants & bars, or treat yourself to a rejuvenating treatment at our world-class Resense Spa. The unique architecture of New Cairo’s palatial landmark extends to our dedicated banquet floor, which includes 11 customisable meeting rooms and the largest ballroom in Egypt, Excelsior Ballroom."
Sofitel Cairo Nile El Gezirah,4.5 of 5 bubbles,"3,918 reviews","EGP 5,122",https://www.tripadvisor.in/Hotel_Review-g294201-d304481-Reviews-Sofitel_Cairo_Nile_El_Gezirah-Cairo_Cairo_Governorate.html,"3 El Thawra Council St Zamalek, Cairo Egypt","On the southern tip of Gezirah Island, the hotel is a corner of paradise in central Cairo, minutes from Cairo’s business districts. Discover a haven of peace during a vacation in Egypt, and a comfortable base to rest after a successful day of business. Relax by the pool, pamper yourself in Sofitel SPA, wine and dine in our international restaurants and bars. Surrender to luxury and come for a day, a weekend, a week…or more. A stroll along the hotel’s lush riverside promenade takes you to a host of acclaimed restaurants and bars. You can take your time, enjoying the cool shade of exotic palms and breathing in the scent of hibiscus. You’ll hear the gentle sound of water lapping as you rest on a Nile-side terrace with a cool drink, and dine on international cuisine. It’s especially beautiful at dusk, when the sun sets over Cairo’s skyline and vibrant nightlife. Escape the city for a day at our secluded Cairo hotel, which feels like an exclusive Egyptian resort set in lush gardens. Take advantage of Sofitel SPA and Sofitel FIT, float in an infinity pool overlooking the Nile, unwind in a bubbling whirlpool bath… whatever you desire. Day membership includes discounts to the restaurants and bars which line the Nile-side promenade, promising refreshment and fun for families, couples and friends."
11. Le Meridien Cairo Airport,4.5 of 5 bubbles,"1,583 reviews","EGP 4,024",https://www.tripadvisor.in/Hotel_Review-g294201-d5040629-Reviews-Le_Meridien_Cairo_Airport-Cairo_Cairo_Governorate.html,"3 Cairo International Airport, Terminal Cairo International Airport, Terminal 3, Cairo 11511 Egypt","Your Gateway to Egypt's Discovery. Le Méridien Cairo Airport offers 66 club floor rooms with a dedicated club lounge, 264 deluxe rooms, 9 studio suites, 9 panoramic deluxe suites and 1 presidential suite - all inside of Cairo's airport. All rooms and suites are fully soundproofed, smoke-free, and feature the Le Méridien signature beds. The refined and modern design creates a perfectly relaxed experience. A combination of complimentary WIFI + cable connection coupled with the latest technology makes it easy to conduct business if necessary."
12. Fairmont Nile City,4.5 of 5 bubbles,"5,393 reviews","EGP 5,668EGP 4,838",https://www.tripadvisor.in/Hotel_Review-g294201-d580690-Reviews-Fairmont_Nile_City-Cairo_Cairo_Governorate.html,"Nile City Towers - 2005 B, Corniche El Nil Ramlet Beaulac, Cairo 2466 Egypt","A melting pot of history and diversity, the city of Cairo is ideal for both business and leisure. Like the city itself, Fairmont Nile City offers a delightful series of contrasts, combining advanced technology and modern design with local flavors and flair. With sweeping panoramas of the river Nile and the Pyramids in the distance, Cairo’s beauty and history are always in sight from your luxury accommodation. During your stay, embark on culinary adventures at the city’s finest restaurants, enjoy the fresh air at our rooftop poolside restaurant and pamper yourself at Willow Stream Spa. Part of the prestigious Nile City complex, this luxury hotel is the perfect location for business events. The space consists of 845 square meters (9,100 square feet) plus 450 square meters (4,800 square feet) of outdoor space dedicated to meetings and conventions, comprising of 10 meeting rooms including a ballroom. The space also offers spectacular river Nile views."
13. Novotel Cairo Airport,4 of 5 bubbles,"2,222 reviews","EGP 2,373EGP 2,318",https://www.tripadvisor.in/Hotel_Review-g294201-d299611-Reviews-Novotel_Cairo_Airport-Cairo_Cairo_Governorate.html,Cairo 11776 Egypt,"Touch down in 4-star comfort at Novotel Cairo Airport hotel, a 5-minute ride from the terminals on the free 24-hour shuttle. Relax under the palms in the courtyard, or re-energise with a dip in the pool. All-day dining means you won't fly hungry. Your modern soundproofed room lets you stretch out and enjoy a restful night at Novotel."
14. Ramses Hilton,4 of 5 bubbles,"4,180 reviews","EGP 4,454",https://www.tripadvisor.in/Hotel_Review-g294201-d300669-Reviews-Ramses_Hilton-Cairo_Cairo_Governorate.html,"Corniche El Nile 1115, Cairo 12344 Egypt","Finding an ideal luxury hotel in Cairo does not have to be difficult. Welcome to Ramses Hilton, a nice option for travellers like you.Given the close proximity of popular landmarks, such as Zamalek (Gezira Island) (0.5 mi) and Mosque of Al-Azhar (0.9 mi), guests of Ramses Hilton can easily experience some of Cairo's most well known attractions.Ramses Hilton Hotel is a luxury hotel offering a flat screen TV, air conditioning, and a refrigerator in the rooms, and it is easy to stay connected during your stay as free wifi is offered to guests.The hotel features room service, a rooftop terrace, and a concierge. Plus, guests can enjoy a pool and free breakfast, which have made this a popular choice among travellers visiting Cairo. For guests with a vehicle, parking is available.While you’re here, be sure to check out some of the diners, including Kamala at Conrad Cairo, Bikers' Joint, and 3Almashy Egypt, all of which are a short distance from Ramses Hilton.Cairo is also home to Military Museum, a popular military museum that is not too far from Ramses Hilton.Ramses Hilton looks forward to welcoming you on your visit to Cairo."
15. Hilton Cairo Heliopolis,4 of 5 bubbles,"1,738 reviews","EGP 4,788EGP 4,704",https://www.tripadvisor.in/Hotel_Review-g294201-d1157029-Reviews-Hilton_Cairo_Heliopolis-Cairo_Cairo_Governorate.html,"El-Orouba Qism El-Nozha, Cairo 2466 Egypt","Finding an ideal family-friendly hotel in Cairo does not have to be difficult. Welcome to Hilton Cairo Heliopolis, a nice option for travelers like you. While staying at Hilton Cairo Heliopolis, visitors can check out Baron Palace (2.1 mi) and St. Mark's Coptic Orthodox Church (2.3 mi), some of Cairo's top attractions. You’ll enjoy relaxing rooms that offer a flat screen TV, air conditioning, and a minibar, and you can stay connected during your stay as Hilton Cairo Heliopolis offers guests free Wi-Fi. The hotel features room service and a concierge. Plus, Hilton Cairo Heliopolis offers a pool, and providing a pleasant respite from your busy day. During your stay enjoy variety of international cuisines such as Raj Indian Restaurant, Leonardo Italian restaurant, Lan-Tania Thai Restaurant, Nobel house Asian restaurant and Al-Dabke Lebanese restaurant. While in Cairo be sure to experience nearby popular attractions like Egyptian Air Force Museum (0.9 mi) and Obelisk of Ramses II (1.2 mi), which are all within walking distance of the hotel. Hilton Cairo Heliopolis looks forward to welcoming you on your visit to Cairo. NOTE: The following services and amenities are available, but with reduced service: Business Center, Fitness Center, On-site Restaurant(s)."
"Staybridge Suites Cairo - Citystars, an IHG Hotel",4.5 of 5 bubbles,234 reviews,"EGP 4,825",https://www.tripadvisor.in/Hotel_Review-g294201-d1150283-Reviews-Staybridge_Suites_Cairo_Citystars_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"Emtedad Makram Obied Street Heliopolis, Cairo 11737 Egypt","Modern serviced apartments for extended stays in dynamic Cairo Citystars. Offering the comfort and convenience of a home away from home, Staybridge Suites® Cairo Citystars has everything you need for independent living in the exciting commercial hub of Heliopolis. With direct access to Stars Centre shopping mall, and just a seven-minute drive from Cairo International Airport and Cairo International Convention and Exhibition Centre, our 140 fully furnished studios and suites place travelers where they need to be. The buzzing streets of downtown Cairo are half an hour away, with the Great Pyramids a little further. Business travelers on extended stays in Cairo can settle into a spacious studio or suite with up to three bedrooms. Full kitchens and living areas let you cook, work and entertain in style, and Wi-Fi is complimentary throughout. A free buffet breakfast sets you up for the day, and an Evening Social invites you to mingle with fellow guests over dinner three nights a week."
16. Grand Nile Tower,3.5 of 5 bubbles,937 reviews,"EGP 5,316EGP 4,088",https://www.tripadvisor.in/Hotel_Review-g294201-d308091-Reviews-Grand_Nile_Tower-Cairo_Cairo_Governorate.html,"Corniche El Nile Garden City, Roda Island, Cairo 11511 Egypt","A haven within the cosmopolitan vibrant city of Cairo.One of Cairo's most luxurious hotels,Grand Nile Tower is a family hotel directly situated on the magnificent Nile river with a prime location in central Cairo,close to many cultural and tourist 's attractions.This stunning Kid-friendly Hotel offers you the finest service and experiences,elegantly designed accommodation that includes a wide selection of room types all of them are overlooking the splendid Nile River.The rooms and suites are having balconies with spectacular Nile views. A wide array of cuisines at any of our eight restaurants and lounges,including the highly acclaimed Revolving restaurant at the 41st floor .The restaurant is the highest rotating restaurant in the Middle East .As a guest,you can also access the exquisite conference and banqueting facilities for hosting memorable social and corporate events."
17. Dahab Hostel,4.5 of 5 bubbles,576 reviews,EGP 499EGP 329,https://www.tripadvisor.in/Hotel_Review-g294201-d629999-Reviews-Dahab_Hostel-Cairo_Cairo_Governorate.html,"26 Mahmoud Bassiouny Rooftop, 7th Floor, Talat Harb Sq, Cairo 11511 Egypt","Dahab Hostel, Your Oasis in the City... It has been open since 1998. It has been registered in all the major guidebooks and has consistently received positive reviews. Dabab Hostel is centrally located in the heart of Downtown Cairo. It is just a 3-minute-walking distance to the Egyptian Museum in Tahrir Sq., and within easy reach to the main train and bus stations. Dabab Hostel has its own special charm. It is a collection of whitewashed huts on the rooftop attempting to recreate the feel of Sinai beach camp in an unremittingly urban Downtown Cairo. Once you get inside, you will definitely sense the totally laid-back, chilled out and cozy atmosphere. The outdoor garden area is just superb for lounging around and catching up with other travelers in the evening. The breeze is refreshing and the vibe is incontestable. It is an ideal place for artistic travellers as well. Enjoy the fantastic reggae music played, laying back in the sun, smoking Shisha 'Water pipe' on the rooftop at the Bedwin corner. Sit back & relax, plan your itineraries & catch up with your family & friends by logging onto our new optimized FREE WiFi Broadband Internet coverage for the entire hostel. Our rooms are equipped withprivate facilities and A/C. We have single, double and private dorms available and there are 39 rooms in total. Airport Pickup Service Once you have made your booking, you will be contacted by a staff member to organize it with you. At the airport, you will find our representative waiting for you holding a sign of your name and Dahab hostel, after you finish passport checking and custom clearance. Things to see in the local area Shopping Bazars. Khan El-Khalili Market. Al Azhar Mosque. Old Cairo /Islamic Cairo. Coptic Area. The Citadel. Cairo Tower. Cairo Opera House. In the evenings, the local area has a wide variety of restaurants and lively nightspots. Thank you for choosing Dahab Hostel ... See you soon in Cairo... ...::: NEW :::... Check out our new Deluxe rooms with private facilities and A/C"
18. JW Marriott Hotel Cairo,4.5 of 5 bubbles,"1,748 reviews","EGP 8,658EGP 8,437",https://www.tripadvisor.in/Hotel_Review-g294201-d299728-Reviews-JW_Marriott_Hotel_Cairo-Cairo_Cairo_Governorate.html,"Ring Road- Mirage City Heliopolis, Cairo 11757 Egypt","Treat yourself to a new standard of elegance at the award-winning JW Marriott Hotel Cairo. Set against the unique and magical backdrop of Cairo, Egypt, a vibrant city steeped in 7,000 years of history and culture, our luxury hotel provides a combination of relaxed sophistication and personalized service. 440 impeccably appointed hotel rooms and suites offer every luxury for your Heliopolis visit, from pillowtop mattresses and marble bathrooms to 24-hour room service and high-speed Internet. Our stunning suites feature impressive views of our golf course, or ""The Beach."" With 12 diverse dining options at your disposal, you can rest assured that your appetite will always be satisfied. Indulge in a luxury treatment at the 27,000-square foot Mandara Spa, or play a round at our Mirage City Golf Club. Plan your next event with us in Heliopolis; our hotel features gorgeous, flexible venue space and comprehensive planning services. For the getaway of a lifetime here in Egypt, choose the JW Marriott Hotel Cairo."
19. Novotel Cairo El Borg,4 of 5 bubbles,"1,434 reviews","EGP 4,641",https://www.tripadvisor.in/Hotel_Review-g294201-d1200790-Reviews-Novotel_Cairo_El_Borg-Cairo_Cairo_Governorate.html,"3 Saraya El Gezira Street Zamalek, Cairo Egypt","Looking for a place to stay in Cairo? Then look no further than Novotel Cairo El Borg, a family-friendly hotel that brings the best of Cairo to your doorstep.Guest rooms offer a flat screen TV, air conditioning, and a minibar, and Novotel Cairo El Borg Hotel makes getting online easy as free wifi is available.You can also take advantage of some of the amenities offered by the hotel, including room service, a rooftop terrace, and a concierge. In addition, guests can enjoy a pool and free breakfast during their visit. As an added convenience, there is free parking available to guests.For those interested in checking out popular landmarks while visiting Cairo, Novotel Cairo El Borg Hotel is located a short distance from Zamalek (Gezira Island) (0.0 mi) and Mosque of Al-Azhar (1.1 mi).While you’re here, be sure to check out some of the Italian restaurants, including Vivo Restaurant, Pane Vino Restaurant, and L'Uliveto Restaurant, all of which are a short distance from Novotel Cairo El Borg.Cairo is also home to Egyptian Geology Museum, a popular science museum that is not too far from Novotel Cairo El Borg Hotel.We’re sure you’ll enjoy your stay at Novotel Cairo El Borg as you experience everything Cairo has to offer."
"20. The St. Regis Almasa Hotel, Cairo",4.5 of 5 bubbles,113 reviews,"EGP 4,859",https://www.tripadvisor.in/Hotel_Review-g294201-d13540550-Reviews-The_St_Regis_Almasa_Hotel_Cairo-Cairo_Cairo_Governorate.html,"Cairo Suez Road New Administrative Capital, Cairo 29115 Egypt","Located in the heart of the new administrative capital, The St. Regis Almasa Hotel serves as a destination within a destination. It is the prestigious address perfectly situated to enhance the networks of state officials and the business elite as well as an exquisite escape for unparalleled family time. Here, quintessential luxury meets stately elegance. On the fast track to becoming Egypt’s epicenter of governance and commerce, the new administrative capital will play host to heads of state and their delegations, while acting as the seat of power for the country’s government. Featuring a vibrant new center of arts and culture, the capital will also attract artists and art lovers to enchanting and inspiring destinations like the stunning Grand Opera House. Also, not far off are one of the world’s most iconic ancient wonders - the pyramids."
"21. InterContinental Cairo Semiramis, an IHG Hotel",4.5 of 5 bubbles,"2,840 reviews","EGP 6,525EGP 5,632",https://www.tripadvisor.in/Hotel_Review-g294201-d299113-Reviews-InterContinental_Cairo_Semiramis_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"Corniche El Nil, Cairo 11511 Egypt","On the historic Semiramis hotel site, guests can enjoy modern luxury by the river Nile. Semiramis InterContinental Cairo is 23 KM from Cairo International airport with a premium location in the heart of the city center next to the Egyptian Museum and Khan el Khalili. The Hotel features a 26 sq m2 rooftop pool, fine dining with exquisite cuisine, conference facilities, a state of the art spa, a shopping arcade, and the Nile Terrace offering stunning views of the sunset over the Nile."
22. Concorde El Salam Hotel Cairo by Royal Tulip,4 of 5 bubbles,731 reviews,"EGP 2,909",https://www.tripadvisor.in/Hotel_Review-g294201-d301243-Reviews-Concorde_El_Salam_Hotel_Cairo_by_Royal_Tulip-Cairo_Cairo_Governorate.html,"69 Abdel Hamid Badawi Street, Heliopolis, Cairo 5614 Egypt","Located in the fashionable suburb of Heliopolis, 10 minutes from Cairo International airport, 10 minutes from the Cairo International Conference center and 25 minutes from the city center with courtesy hotel shuttle. Georgian style hotel of architecture boasting all leisure facilities including tennis courts, glazed squash courts, equestrian club & business center. 320 spacious rooms with 18 suites and 14 individual pool side rooms, Executive floor including business advantage rooms, Executive lounge and butler service. All rooms & public areas have broadband internet access with free WiFi technology, IP telephone with voice mail, data port. All rooms with 32-Inch LCD TV. 11 fully equipped meeting rooms accommodating up to 500 people. All rooms feature the latest audiovisual equipment, fax and computer facilities. Fitness & Health Club fully equipped with cardiovascular equipment for total body workouts. The Spa sauna, Jacuzzi , hammam and professional massage."
23. New Grand Royal Hotel Cairo,4 of 5 bubbles,377 reviews,EGP 802,https://www.tripadvisor.in/Hotel_Review-g294201-d2708329-Reviews-New_Grand_Royal_Hotel_Cairo-Cairo_Cairo_Governorate.html,"1 Talaat Harb Square, Cairo 11511 Egypt","Hotel Grand Royal is located in Cairo City Centre. Rooms are decorated with white colours and wooden furniture. Free Wi-Fi is available in the entire hotel. The rooms are air-conditioned with wooden flooring. Facilities include TV and bathroom with a bathtub. Some rooms have a balcony overlooking the city. Fresh flowers are sent to the rooms every day. Guests can enjoy the wide variety of restaurants located outside the hotel. Choice of food ranges from Egyptian to western dishes. The restaurant at Grand Royal is also open to guests, and room service is available as well. Guests can take a walk by the Nile River or visit the Egyptian Museum, all within 15 minutes' walking distance. The hotel is within 20 minutes' drive to Pyramids of Giza. Cairo International Airport is located within 35 minutes' driving distance."
24. Oasis Hotel,4 of 5 bubbles,4 reviews,EGP 344,https://www.tripadvisor.in/Hotel_Review-g294201-d15518244-Reviews-Oasis_Hotel-Cairo_Cairo_Governorate.html,"11 Ramsis Street, Abdelmonem Riyadh Square 5th Floor downtown-Cairo, Cairo 11511 Egypt","Situated in Cairo, Cairo Governorate region, Oasis Downtown Hostel is set 1 km from Tahrir Square. Located around 1 km from The Egyptian Museum, the hostel is also 2.4 km away from Khan Al Khalili. The accommodation offers free WiFi. At the hostel, the rooms are equipped with a terrace. At Elwahaa Downtown Hostel, all rooms include air conditioning and a flat-screen TV. A continental breakfast is served each morning at the property. Speaking Arabic and German, staff are always on hand to help at the reception. Al-Azhar Mosque is 2.9 km from the accommodation. The nearest airport is Cairo International Airport, 19 km from Elwahaa Downtown Hostel."
25. Osiris Hotel,4.5 of 5 bubbles,502 reviews,EGP 797,https://www.tripadvisor.in/Hotel_Review-g294201-d614748-Reviews-Osiris_Hotel-Cairo_Cairo_Governorate.html,"49 Nubar Bab el Louk, Cairo 11511 Egypt","The Hotel Osiris was recently built with a unique oriental inspired style, giving this place a special charm and cosy atmosphere, making you feel at home. Clean, quiet rooms, comfortable beds, air conditioning, internet cafe. Outstanding Top Roof terrace with a panoramic view of Cairo and delicious homemade Egyptian food. Managed by Josiane & Nabil, French & Egyptian, English speakers - the Hotel is strategically located in the heart of down town Cairo, by the metro & Egyptian Museum."
"InterContinental Citystars Cairo, an IHG Hotel",4.5 of 5 bubbles,"2,549 reviews","EGP 6,470",https://www.tripadvisor.in/Hotel_Review-g294201-d536381-Reviews-InterContinental_Citystars_Cairo_an_IHG_Hotel-Cairo_Cairo_Governorate.html,"Omar Ibn El Khattab Street Heliopolis, Cairo 11737 Egypt","Explore Cairo's heritage amidst modern luxuries and stay at the five-star InterContinental Citystars Cairo hotel in Cairo's Heliopolis, next to Stars Centre Mall. Relax in grand rooms with beautiful furnishings and views. Indulge at our 10 exquisite restaurants and bars. Need event space? Our private meeting rooms and Egypt's largest ballroom will satisfy your requirements. Our concierge gladly arranges private tours of the nearby Cairo Citadel, the Pyramids, and soon, The Grand Egyptian Museum."
