,Unnamed: 0,Name,City,phone_no,location,Full Address,Latitude,Longitude,cuisines,rate,number of reviews
17,31,ESCA,Cairo,+20 101 115 5776,"4 Al Badeya Street Heliopolis, Cairo 11511 Egypt","ESCA Cairo 4 Al Badeya Street Heliopolis, Cairo 11511 Egypt ",30.0877619,31.3338351,"Mediterranean, Contemporary, Fusion, Sushi, European, Diner, International",5.0,532.0
18,32,Xodo,Cairo,+20 2 35671870,"136 Nile Street, Cairo 12311 Egypt","Xodo Cairo 136 Nile Street, Cairo 12311 Egypt ",30.0245147,31.2181634,"Brazilian, Steakhouse, Barbecue",5.0,210.0
19,35,Rainbow Bar,Cairo,+20 2 22677730,"Hilton Cairo Heliopolis El Orouba Street, Cairo 11511 Egypt","Rainbow Bar Cairo Hilton Cairo Heliopolis El Orouba Street, Cairo 11511 Egypt ",30.1067689,31.3645509,"Bar, European, Wine Bar",5.0,114.0
20,36,My Kind of Place,Cairo,+20 2 22677730,"Uruba Street, Cairo Egypt","My Kind of Place Cairo Uruba Street, Cairo Egypt ",30.1061828,31.365305,"International, Middle Eastern",5.0,207.0
21,37,Opia Cairo,Cairo,+20 102 221 8977,"1115 Nile Corniche Ramses Hilton, Cairo 11511 Egypt","Opia Cairo Cairo 1115 Nile Corniche Ramses Hilton, Cairo 11511 Egypt ",30.0503164,31.231863,"International, Bar, Pub",4.5,147.0
22,42,Tao,Cairo,+20 2 26140061,"Dusit Thani Lakeview Cairo Hotel, Cairo 11511 Egypt","Tao Cairo Dusit Thani Lakeview Cairo Hotel, Cairo 11511 Egypt ",30.0260576,31.4552176,"Chinese, Japanese, Indian, Sushi, Asian",5.0,346.0
23,43,Bar'Oro,Cairo,+20 2 25778899,"1113 Corniche El Nil St The Nile Ritz Carlton, Cairo 11221 Egypt","Bar'Oro Cairo 1113 Corniche El Nil St The Nile Ritz Carlton, Cairo 11221 Egypt ",30.045822,31.2323535,"Italian, Bar, European, Wine Bar, International",5.0,123.0
24,44,The Grill Restaurant & Lounge,Cairo,+20 2 27988000,"InterContinental Cairo Semiramis Corniche El Nile Downtown, Cairo 11511 Egypt","The Grill Restaurant & Lounge Cairo InterContinental Cairo Semiramis Corniche El Nile Downtown, Cairo 11511 Egypt ",30.0431423,31.2318248,"French, Steakhouse, European",5.0,455.0
25,45,JW Steakhouse Cairo Mirage City,Cairo,+20 2 24065899,"Ring Road, Cairo 11511 Egypt","JW Steakhouse Cairo Mirage City Cairo Ring Road, Cairo 11511 Egypt ",30.071991,31.434417,"Steakhouse, International",4.5,213.0
26,47,Indira Indian Restaurant,Cairo,+20 2 24803007,"Holiday Inn Cairo Citystars Ali Rashed Street, Cairo 11511 Egypt","Indira Indian Restaurant Cairo Holiday Inn Cairo Citystars Ali Rashed Street, Cairo 11511 Egypt ",30.0740861,31.3439836,"Indian, Asian, Healthy",5.0,1470.0
27,48,Le Marche,Cairo,+20 2 22677730,"Uruba Street El Orouba Street, Cairo 11511 Egypt","Le Marche Cairo Uruba Street El Orouba Street, Cairo 11511 Egypt ",30.0442731,31.2542983,French,5.0,130.0
28,50,L'Uliveto Italian Restaurant,Cairo,+20 2 24619494,"Nile City Towers- 2005 B Corniche El Nil, Cairo 11311 Egypt","L'Uliveto Italian Restaurant Cairo Nile City Towers- 2005 B Corniche El Nil, Cairo 11311 Egypt ",30.0719817,31.2276068,"Italian, Mediterranean, European",5.0,231.0
29,51,Pizza Bar,Cairo,+20 2 22677730,"El Saheed Sayed Zakaria Street Heliopolis Towers, Cairo 11511 Egypt","Pizza Bar Cairo El Saheed Sayed Zakaria Street Heliopolis Towers, Cairo 11511 Egypt ",30.0963742,31.3772052,"Bar, Cafe",5.0,184.0
30,52,Giannini’s New York Italian Restaurant,Cairo,+20 102 221 6883,"Galae Square Sheraton Cairo Hotel & Casino, Cairo 11511 Egypt","Giannini’s New York Italian Restaurant Cairo Galae Square Sheraton Cairo Hotel & Casino, Cairo 11511 Egypt ",30.0392592,31.2201414,"Italian, Mediterranean, European, Sicilian, Southern-Italian",5.0,249.0
31,53,Bellini Cocktail Lounge,Cairo,+20 2 24800009,"InterContinental Cairo Citystars, In Hotel - Lobby Level Omar Ibn El Khattab St., Cairo 11511 Egypt","Bellini Cocktail Lounge Cairo InterContinental Cairo Citystars, In Hotel - Lobby Level Omar Ibn El Khattab St., Cairo 11511 Egypt ",30.1301958,31.3115106,"Bar, Pizza, European, Pub",5.0,198.0
32,54,Bab Al Qasr,Cairo,+20 109 711 1151,"Royal Maxim Palace Kempinski Hotel, First Settlement, New Cairo First Settlement, New Cairo, Cairo 11477 Egypt","Bab Al Qasr Cairo Royal Maxim Palace Kempinski Hotel, First Settlement, New Cairo First Settlement, New Cairo, Cairo 11477 Egypt ",30.0610113,31.4182826,"Lebanese, Middle Eastern, Egyptian",5.0,469.0
33,55,Sushiramis,Cairo,+20 2 27988188,"InterContinental Cairo Semiramis Hotel Corniche El Nil, Cairo 11511 Egypt","Sushiramis Cairo InterContinental Cairo Semiramis Hotel Corniche El Nil, Cairo 11511 Egypt ",30.042987,31.2324871,"Japanese, Sushi, Asian",5.0,193.0
34,57,Maestro Italian Restaurant,Cairo,+20 2 24800100,"InterContinental Cairo Citystars Omar Ibn El Khattab St. Heliopolis, Cairo 11511 Egypt","Maestro Italian Restaurant Cairo InterContinental Cairo Citystars Omar Ibn El Khattab St. Heliopolis, Cairo 11511 Egypt ",30.0725424,31.3479856,"Pizza, Italian, Mediterranean, European",5.0,536.0
35,59,Namaste Indian Restaurant,Cairo,+20 106 476 1111,"1115 Corniche El Nile Ramses Hilton, Cairo 12344 Egypt","Namaste Indian Restaurant Cairo 1115 Corniche El Nile Ramses Hilton, Cairo 12344 Egypt ",30.050373,31.232095,"Indian, Asian",4.5,423.0
36,60,Windows Restaurant,Cairo,+20 2 24803007,"Ali Rashed Street Holiday Inn Cairo - Citystars, Cairo 11511 Egypt","Windows Restaurant Cairo Ali Rashed Street Holiday Inn Cairo - Citystars, Cairo 11511 Egypt ",30.0740861,31.3439836,"Mediterranean, European, Egyptian, International",4.5,296.0
37,61,Egyptian Night,Cairo,+20 2 22677730,"Hilton Cairo Heliopolis El Orouba Street, Cairo 11511 Egypt","Egyptian Night Cairo Hilton Cairo Heliopolis El Orouba Street, Cairo 11511 Egypt ",30.1067689,31.3645509,"Egyptian, Healthy, Middle Eastern",5.0,120.0
38,63,Pane Vino Restaurant,Cairo,+20 2 27988188,"Corniche El Nile Semiramis Intercontinental Hotel, Cairo 11511 Egypt","Pane Vino Restaurant Cairo Corniche El Nile Semiramis Intercontinental Hotel, Cairo 11511 Egypt ",30.0444196,31.2357116,"Italian, Pizza, Mediterranean, European",4.5,475.0
39,64,Sabaya,Cairo,+20 2 27988188,"Corniche El Nil Semiramis InterContinental Cairo, Cairo 11511 Egypt","Sabaya Cairo Corniche El Nil Semiramis InterContinental Cairo, Cairo 11511 Egypt ",30.0444196,31.2357116,"Lebanese, Mediterranean, Middle Eastern, Egyptian",4.5,657.0
40,65,Reif Kushiyaki Cairo,Cairo,+20 128 044 6862,"5a By The Waterway, Cairo 11511 Egypt","Reif Kushiyaki Cairo Cairo 5a By The Waterway, Cairo 11511 Egypt ",30.0090063,31.4018097,"Japanese, Asian",5.0,67.0
41,67,Koshary Abou Tarek,Cairo,+20 2 25775935,"Choppin ln Champollion, Cairo 11511 Egypt","Koshary Abou Tarek Cairo Choppin ln Champollion, Cairo 11511 Egypt ",30.0501856,31.2378303,"Fast Food, Middle Eastern, Egyptian",4.5,1527.0
42,69,Carlo's Le Pacha 1901,Cairo,+20 2 27350174,"Saray El Gezirah Street Zamalek, Cairo 11511 Egypt","Carlo's Le Pacha 1901 Cairo Saray El Gezirah Street Zamalek, Cairo 11511 Egypt ",30.0518511,31.2277596,"Pizza, Mediterranean, Pub, Bar, Middle Eastern, Egyptian",4.5,314.0
43,70,Tokyo Korba,Cairo,1555836617,"13 El Thawra St, El Korba, Heliopolis, Cairo 4460242 Egypt","Tokyo Korba Cairo 13 El Thawra St, El Korba, Heliopolis, Cairo 4460242 Egypt ",30.0904137,31.3262639,Japanese,5.0,56.0
44,72,Ayadina Lebanese restaurant,Cairo,+20 101 521 1222,"3 Cleopatra street, Korba, Heliopolis Phase 1, 4th floor Citystars, Cairo 11511 Egypt","Ayadina Lebanese restaurant Cairo 3 Cleopatra street, Korba, Heliopolis Phase 1, 4th floor Citystars, Cairo 11511 Egypt ",30.0879267,31.3247725,"Lebanese, Middle Eastern, Mediterranean",4.5,220.0
45,73,India along the Nile,Cairo,+20 2 27988188,"Corniche El Nil, Semiramis InterContinental Cairo, Cairo 11511 Egypt Garden City, Cairo 11511 Egypt","India along the Nile Cairo Corniche El Nil, Semiramis InterContinental Cairo, Cairo 11511 Egypt Garden City, Cairo 11511 Egypt ",30.0428661,31.2320787,"Indian, Asian",4.5,127.0
46,74,Lucca,Cairo,+20 109 711 1151,"Royal Maxim Palace Kempinski Cairo, First Settlement, New Cairo First Settlement, New Cairo, Cairo 11477 Egypt","Lucca Cairo Royal Maxim Palace Kempinski Cairo, First Settlement, New Cairo First Settlement, New Cairo, Cairo 11477 Egypt ",30.0610113,31.4182826,"Italian, Pizza, Mediterranean, European, Wine Bar",4.5,220.0
47,75,Taboula Lebanese Restaurant,Cairo,2027497326,"1 Latin America Street Garden City, Cairo 11511 Egypt","Taboula Lebanese Restaurant Cairo 1 Latin America Street Garden City, Cairo 11511 Egypt ",-4.4420385,-61.3268535,"Lebanese, Middle Eastern, Mediterranean, Grill, Egyptian",4.5,596.0
48,76,Plateau,Cairo,+20 2 24115588,"Ring Road, Cairo 11757 Egypt","Plateau Cairo Ring Road, Cairo 11757 Egypt ",30.0911375,31.1970426,"Bar, International, Pub",4.5,76.0
49,77,Naguib Mahfouz Cafe,Cairo,+202-5903788,"5 El Baddistan Lane Khan el-Khalili, Cairo 11511 Egypt","Naguib Mahfouz Cafe Cairo 5 El Baddistan Lane Khan el-Khalili, Cairo 11511 Egypt ",30.0444196,31.2357116,"Cafe, Middle Eastern, Egyptian",4.5,494.0
50,78,MARIA'S,Cairo,+20 2 22677730,"Hilton Cairo Heliopolis El Orouba Street, Heliopolis, Cairo 11511 Egypt","MARIA'S Cairo Hilton Cairo Heliopolis El Orouba Street, Heliopolis, Cairo 11511 Egypt ",30.1067689,31.3645509,Mexican,5.0,136.0
51,79,Aqua e Luce,Cairo,+20 2 22677730,"Heliopolis Towers Uruba Street, Heliopolis, Cairo 11511 Egypt","Aqua e Luce Cairo Heliopolis Towers Uruba Street, Heliopolis, Cairo 11511 Egypt ",30.112315,31.3438507,International,5.0,93.0
52,80,What The Crust,Cairo,+20 100 576 4631,"10 Street 275 Mokarrar Maadi, Cairo 11511 Egypt","What The Crust Cairo 10 Street 275 Mokarrar Maadi, Cairo 11511 Egypt ",29.9696518,31.2751031,"Neapolitan, Campania, Southern-Italian, Italian, Pizza",5.0,74.0
53,81,Roy's Smokehouse,Cairo,+20 2 27283000,"16 Saray El Gezirah St Zamalek, Cairo 11211 Egypt","Roy's Smokehouse Cairo 16 Saray El Gezirah St Zamalek, Cairo 11211 Egypt ",30.0579086,31.2251126,American,4.5,102.0
54,82,Zooba,Cairo,+20 16082,"26th of July St, Zamalek, Gezira Island Intersection of 26th of July and Shagaret El Dor,, Cairo 11511 Egypt","Zooba Cairo 26th of July St, Zamalek, Gezira Island Intersection of 26th of July and Shagaret El Dor,, Cairo 11511 Egypt ",30.0613327,31.2187642,"Middle Eastern, Egyptian, International",4.0,556.0
55,83,Fuze Bar,Cairo,+20 2 22677730,"El Saheed Sayed Zakaria Street El- Orouba street, Cairo 24666 Egypt","Fuze Bar Cairo El Saheed Sayed Zakaria Street El- Orouba street, Cairo 24666 Egypt ",30.1081088,31.366114,Bar,5.0,58.0
56,84,8 Chinese Restaurant,Cairo,+20 2 27916888,"1089 Corniche El Nil Garden City, Cairo 11519 Egypt","8 Chinese Restaurant Cairo 1089 Corniche El Nil Garden City, Cairo 11519 Egypt ",30.0380584,31.2325889,"Chinese, Asian",4.5,146.0
57,85,Kazaz Restaurant,Cairo,+20 114 008 0704,"38 Sabry Abou Alam St. Off Talaat Harb Sq. In Front Of Sidnawy, Cairo 11511 Egypt","Kazaz Restaurant Cairo 38 Sabry Abou Alam St. Off Talaat Harb Sq. In Front Of Sidnawy, Cairo 11511 Egypt ",30.0471275,31.2392508,"Fast Food, Middle Eastern, Egyptian",4.5,197.0
58,86,Oasis Lounge,Cairo,+20 103 305 5585,"Triumph Luxury Hotel Block 19 In Front Of Katameya Heights, Cairo 11511 Egypt","Oasis Lounge Cairo Triumph Luxury Hotel Block 19 In Front Of Katameya Heights, Cairo 11511 Egypt ",30.0033427,31.4012146,"Cafe, International, Healthy",5.0,42.0
59,87,JW Steakhouse Restaurant,Cairo,+20 2 27283000,"16 Saray El Gezira Street Cairo Marriott Hotel, Cairo 11211 Egypt","JW Steakhouse Restaurant Cairo 16 Saray El Gezira Street Cairo Marriott Hotel, Cairo 11211 Egypt ",30.0572882,31.2249456,International,4.5,140.0
60,88,L'Asiatique - Le Pacha 1901,Cairo,+20 19982,"El khalig street, Cairo 11511 Egypt","L'Asiatique - Le Pacha 1901 Cairo El khalig street, Cairo 11511 Egypt ",30.0517876,31.2277776,"Asian, Thai, Chinese, Japanese, Sushi",4.5,124.0
61,89,Saraya Gallery,Cairo,+20 2 27283000,"16 Saray El Gezira Street. Zamalek Cairo Marriott Hotel & Omar Khayyam Casino, Cairo 11211 Egypt","Saraya Gallery Cairo 16 Saray El Gezira Street. Zamalek Cairo Marriott Hotel & Omar Khayyam Casino, Cairo 11211 Egypt ",30.0568133,31.2250428,"French, European",4.5,76.0
62,91,La Palmeraie,Cairo,+20 2 27373737,"3 El Thawra Council Street, Cairo 11511 Egypt","La Palmeraie Cairo 3 El Thawra Council Street, Cairo 11511 Egypt ",30.0444196,31.2357116,"Moroccan, Middle Eastern",4.5,202.0
63,92,Zitouni,Cairo,+20 2 27916877,"1089 Corniche El Nil Four Seasons Hotel Cairo at Nile Plaza, Cairo 11511 Egypt","Zitouni Cairo 1089 Corniche El Nil Four Seasons Hotel Cairo at Nile Plaza, Cairo 11511 Egypt ",30.0362362,31.2294568,"Mediterranean, Middle Eastern, Egyptian",4.5,146.0
64,94,Le Steak Restaurant - Le Pacha 1901,Cairo,+20 2 27350174,"Saray El Gezirah Street Zamalek, Cairo 11511 Egypt","Le Steak Restaurant - Le Pacha 1901 Cairo Saray El Gezirah Street Zamalek, Cairo 11511 Egypt ",30.0518511,31.2277596,French,4.5,168.0
65,95,Eish & Malh,Cairo,+20 109 874 4014,"20 Adly Street Directly in Front of the Jewish Synagogue, Cairo 11511 Egypt","Eish & Malh Cairo 20 Adly Street Directly in Front of the Jewish Synagogue, Cairo 11511 Egypt ",30.0508649,31.2438221,"Italian, Pizza, Cafe, Mediterranean, Healthy",4.0,188.0
66,96,Pepenero,Cairo,+20 101 010 1342,"18 Baghdad Street 1st Floor Above Venus Bakery, Cairo 11511 Egypt","Pepenero Cairo 18 Baghdad Street 1st Floor Above Venus Bakery, Cairo 11511 Egypt ",30.0907085,31.323541,"Italian, Pizza, Mediterranean, European",4.5,116.0
67,97,Le Pacha 1901,Cairo,+202 2735 0174,"Saray El Gezirah Street in front of Gezira Sporting Club, Cairo 68824 Egypt","Le Pacha 1901 Cairo Saray El Gezirah Street in front of Gezira Sporting Club, Cairo 68824 Egypt ",30.0444196,31.2357116,"Italian, French, Asian, Middle Eastern",4.5,121.0
68,100,Sirocco,Cairo,+20 2 25979000,"1189 Nile Corniche St. Regis Cairo, Cairo 11221 Egypt","Sirocco Cairo 1189 Nile Corniche St. Regis Cairo, Cairo 11221 Egypt ",30.0629952,31.2273714,"Wine Bar, Egyptian, Mediterranean",5.0,27.0
69,101,Koshari al-Tahrir,Cairo,+20 19719,"Sharia Abd el-Khalik Sarwat, Cairo 11511 Egypt","Koshari al-Tahrir Cairo Sharia Abd el-Khalik Sarwat, Cairo 11511 Egypt ",30.0395657,31.2169057,"Middle Eastern, Egyptian",4.0,190.0
70,102,Vintage Bar & Lounge,Cairo,+20 2 24063333,"Ring Road Renaissance Cairo Mirage City Hotel, Cairo 11511 Egypt","Vintage Bar & Lounge Cairo Ring Road Renaissance Cairo Mirage City Hotel, Cairo 11511 Egypt ",30.074655,31.439603,"Bar, Pub",4.5,63.0
71,103,Oldish,Cairo,+20 106 011 9488,"20 Mohammed Mahmoud Downtown, Cairo 11511 Egypt","Oldish Cairo 20 Mohammed Mahmoud Downtown, Cairo 11511 Egypt ",30.0432671,31.2385642,"Middle Eastern, Egyptian",4.0,92.0
72,104,Kebabgy Oriental Grill,Cairo,+20 115 591 2244,"3 El Thawra Council Street, Cairo 11518 Egypt","Kebabgy Oriental Grill Cairo 3 El Thawra Council Street, Cairo 11518 Egypt ",30.0444196,31.2357116,"Mediterranean, Barbecue, Middle Eastern, Egyptian",4.0,369.0
73,105,Asmak,Cairo,+20 100 352 7777,"Concord Plaza Mall Tesseen St., Cairo 11511 Egypt","Asmak Cairo Concord Plaza Mall Tesseen St., Cairo 11511 Egypt ",30.0256218,31.4595688,"Seafood, Middle Eastern, Egyptian",4.0,112.0
74,106,Pier88 Nile River,Cairo,+20 120 811 1140,"19 Saray El Gezirah Street Imperial Boat, Cairo 11511 Egypt","Pier88 Nile River Cairo 19 Saray El Gezirah Street Imperial Boat, Cairo 11511 Egypt ",30.0530517,31.2267363,"Italian, Mediterranean, European, International, Dining bars",4.5,141.0
75,107,Bella,Cairo,+20 2 27916875,"1089 Corniche El Nil Garden City, Cairo 11519 Egypt","Bella Cairo 1089 Corniche El Nil Garden City, Cairo 11519 Egypt ",30.0380584,31.2325889,Italian,4.5,91.0
76,108,Blaze Restaurant & Café,Cairo,+20 16267,"49 El Nozha Street Heliopolis, Cairo 11511 Egypt","Blaze Restaurant & Café Cairo 49 El Nozha Street Heliopolis, Cairo 11511 Egypt ",30.0858337,31.3411737,"American, Cafe, International",4.5,54.0
77,109,J&G Steakhouse,Cairo,+20 2 25979000,"1189 Nile Corniche The St. Regis Cairo, Cairo 11221 Egypt","J&G Steakhouse Cairo 1189 Nile Corniche The St. Regis Cairo, Cairo 11221 Egypt ",30.0628748,31.2274277,"Steakhouse, Wine Bar",5.0,26.0
78,110,Bab El Nil Restaurant,Cairo,+20 2 24619494,"Fairmont Nile City Nile City Towers - 2005B, Corniche El Nil, Ramlet Beaulac, Cairo 2466 Egypt","Bab El Nil Restaurant Cairo Fairmont Nile City Nile City Towers - 2005B, Corniche El Nil, Ramlet Beaulac, Cairo 2466 Egypt ",30.071874,31.2276065,"Lebanese, Middle Eastern, Egyptian, Arabic",4.5,187.0
79,111,Khan El Khalili Restaurant,Cairo,+20 2 25903788,"Khan El Khalili Part of the Mena House Oberoi chain, Cairo 11511 Egypt","Khan El Khalili Restaurant Cairo Khan El Khalili Part of the Mena House Oberoi chain, Cairo 11511 Egypt ",29.985364,31.133072,"Middle Eastern, Egyptian",4.5,88.0
80,113,Oak Grill,Cairo,+20 2 25808441,"1191 Corniche El Nil, Cairo 11511 Egypt","Oak Grill Cairo 1191 Corniche El Nil, Cairo 11511 Egypt ",30.0655285,31.2276184,Lebanese,4.5,67.0
81,114,Felfela,Cairo,+20 2 23955557,"15 Hoda Shaarawy Street Downtown, Cairo 11511 Egypt","Felfela Cairo 15 Hoda Shaarawy Street Downtown, Cairo 11511 Egypt ",30.0465262,31.2380761,"Middle Eastern, Egyptian",4.0,1237.0
82,115,Nagib Mafouz,Cairo,+20 109 409 1546,"5 El Badestan Lane Khan El Khalili, Cairo 11511 Egypt","Nagib Mafouz Cairo 5 El Badestan Lane Khan El Khalili, Cairo 11511 Egypt ",30.0444196,31.2357116,"Cafe, Middle Eastern, Egyptian",4.5,134.0
83,116,Tea Garden,Cairo,+20 2 27988000,"Corniche El Nile Semiramis InterContinental, Cairo 11511 Egypt","Tea Garden Cairo Corniche El Nile Semiramis InterContinental, Cairo 11511 Egypt ",30.0444196,31.2357116,Cafe,4.5,56.0
84,117,Rossini Restaurant,Cairo,+20 122 843 7342,"66 Omar Ibn El Khattab St, Cairo 11231 Egypt","Rossini Restaurant Cairo 66 Omar Ibn El Khattab St, Cairo 11231 Egypt ",30.0918863,31.3407048,"Italian, European, Seafood, Mediterranean",4.5,77.0
85,118,Fish Market,Cairo,+20 16770,"Corniche El Maadi Opp. Maadi Second Entrance, Cairo 11511 Egypt","Fish Market Cairo Corniche El Maadi Opp. Maadi Second Entrance, Cairo 11511 Egypt ",29.9683377,31.2391626,"Seafood, Mediterranean, Egyptian",4.0,308.0
86,119,Fuego Grill And Sushi Bar,Cairo,+20 106 552 4466,"9 Palestine Street, Inside Bandar Mall New Maadi, Cairo 11511 Egypt","Fuego Grill And Sushi Bar Cairo 9 Palestine Street, Inside Bandar Mall New Maadi, Cairo 11511 Egypt ",30.0444196,31.2357116,"Japanese, Sushi, Asian, Grill",4.0,139.0
87,120,Tamara,Cairo,+20 16885,"City Star Mall, Cairo 11511 Egypt","Tamara Cairo City Star Mall, Cairo 11511 Egypt ",30.0444196,31.2357116,"Lebanese, Mediterranean, Middle Eastern",4.0,188.0
88,121,Maison Thomas,Cairo,227364413,"157 26 of July St Zamalek, Cairo 11511 Egypt","Maison Thomas Cairo 157 26 of July St Zamalek, Cairo 11511 Egypt ",30.0592902,31.2244497,"Italian, Pizza, European",4.0,277.0
89,123,Kaber Sobhy Restaurant,Cairo,+20 16640,"151 Abeid Street, Cairo 11511 Egypt","Kaber Sobhy Restaurant Cairo 151 Abeid Street, Cairo 11511 Egypt ",30.0837518,31.2349143,"Barbecue, Middle Eastern, Egyptian",4.0,179.0
90,124,The Arcade Restaurant,Cairo,+20-24800009,"InterContinental Cairo Citystars Omar Ibn El Khattab St., Heliopolis, Cairo 11511 Egypt","The Arcade Restaurant Cairo InterContinental Cairo Citystars Omar Ibn El Khattab St., Heliopolis, Cairo 11511 Egypt ",30.0724583,31.3478955,"International, Bar, Pizza, Pub",5.0,48.0
